item,p_uniform,p_nonuniform,flag_uniform,flag_nonuniform
0,0.9937429355896776,0.6268664561903062,0.0,0.0
1,0.3008281140228334,0.2624374210398876,0.0,0.0
2,0.3987360400216057,0.46101011549512727,0.0,0.0
3,0.2086557600391689,0.8201875791465043,0.0,0.0
4,0.9311738947491346,0.8907672019783768,0.0,0.0
5,0.003902534591820081,0.654298011419189,1.0,0.0
6,0.8457233144740623,0.22019073244900345,0.0,0.0
7,0.8767109437263482,0.8535680028065917,0.0,0.0
8,0.6355378138839155,0.7251936253735701,0.0,0.0
9,0.743223214510393,0.1899416182888529,0.0,0.0
10,0.6368349726365177,0.3543183908070048,0.0,0.0
11,0.14520301920575346,0.5933190807609598,0.0,0.0
12,0.6851527403305613,0.9363076366502251,0.0,0.0
13,0.009571239588349267,1.3548779906735237e-05,1.0,1.0
14,0.8272508048386344,0.2858443216684128,0.0,0.0
15,0.18487007439773565,0.10340199111108866,0.0,0.0
16,0.41358019435744797,0.8495741338062497,0.0,0.0
17,0.8109608367069437,0.008113828055345836,0.0,1.0
18,0.7501402130782718,0.2894512246252935,0.0,0.0
19,0.6307137115537211,0.01506677698271677,0.0,1.0
20,0.784784668676682,0.9281795421590523,0.0,0.0
21,0.28673221551610834,0.7112142488839706,0.0,0.0
22,0.6525847210465607,0.13568597296468385,0.0,0.0
23,0.8378434173034499,0.8949425469511436,0.0,0.0
24,0.48431978444341584,0.457098078054628,0.0,0.0
25,0.372525342967749,0.7983960367186964,0.0,0.0
26,0.6062291143348724,0.1665626762471714,0.0,0.0
27,0.5449934217851466,0.12303137289494592,0.0,0.0
28,0.9839161819842283,0.48135266423540923,0.0,0.0
29,0.43621365990932226,0.2965873731749539,0.0,0.0
30,0.39083547491633563,0.23905770829507514,0.0,0.0
31,0.33363136975399255,0.7943524769978452,0.0,0.0
32,0.14069546620181625,0.4780527398985267,0.0,0.0
33,0.9547499378155982,0.5659110773762348,0.0,0.0
34,0.0016114969940548515,0.6642772111375912,1.0,0.0
35,0.23931632593820826,0.57379069760694,0.0,0.0
36,0.0771180056046728,0.5561725696454883,0.0,0.0
37,0.828744992050129,0.3106776656784407,0.0,0.0
38,0.27912409809754046,0.4647471140007676,0.0,0.0
39,0.42556552175662876,0.05148695443490075,0.0,0.0
40,0.2598957819129064,0.04852580304046913,0.0,1.0
41,0.40261897312989225,0.7682963815627291,0.0,0.0
42,0.3847031709857919,0.3687207436181681,0.0,0.0
43,0.5580818683972788,0.3491323812931084,0.0,0.0
44,0.8144926865405246,0.5725758867673223,0.0,0.0
45,0.1883278044117757,0.003115491755348061,0.0,1.0
46,0.7199128949905227,0.0034242284033755978,0.0,1.0
47,0.17773797132719585,0.9118357325147209,0.0,0.0
48,0.9047652658529133,0.8796120655682441,0.0,0.0
49,0.48610699876138286,0.12757767663445574,0.0,0.0
50,0.8539686657913926,0.17339423717015098,0.0,0.0
51,0.5244019987976757,0.46521662708412714,0.0,0.0
52,0.8874557247957738,0.2001931719010124,0.0,0.0
53,0.168829166827989,0.8608321641512114,0.0,0.0
54,0.6196100818630934,0.23448120942029368,0.0,0.0
55,0.6481685352708084,0.4177401555787994,0.0,0.0
56,0.7688044106564074,0.39810822367737775,0.0,0.0
57,0.5365945683159989,0.21538520972060568,0.0,0.0
58,0.7619967921635001,0.5971215665133893,0.0,0.0
59,0.18276521657138625,0.43596551304063647,0.0,0.0
60,0.4829930772745187,0.1189150723494213,0.0,0.0
61,0.34139479353833446,0.001621540659614719,0.0,1.0
62,0.6602980757238204,0.7533538873665355,0.0,0.0
63,0.23430507923702032,0.18299073724690088,0.0,0.0
64,0.8070899197261325,0.13318318383440372,0.0,0.0
65,0.8847985656334064,0.49603085472347086,0.0,0.0
66,0.8467098951668992,0.2517851757201039,0.0,0.0
67,0.2077122921742282,0.6851374501845494,0.0,0.0
68,0.31067209558229525,0.048406069522599564,0.0,1.0
69,0.9176687942666464,0.929820340341159,0.0,0.0
70,0.195556166318589,0.4960734281672534,0.0,0.0
71,0.7751776515324401,0.17261294208330558,0.0,0.0
72,0.2844110707004829,0.23586662982056036,0.0,0.0
73,0.44772235548506945,0.0232378617079442,0.0,1.0
74,0.5420001377367414,0.07152481663669291,0.0,0.0
75,0.8801579270805403,0.5068622137071542,0.0,0.0
76,0.12844020639228748,0.012257769575316955,0.0,1.0
77,0.8412957388102666,0.14194619306508843,0.0,0.0
78,0.29658912863345116,0.9095208189550783,0.0,0.0
79,0.6476723154779627,0.9530153006299462,0.0,0.0
80,0.569785388646385,0.9540409963538878,0.0,0.0
81,0.8263520159963016,0.14595482559890377,0.0,0.0
82,0.8173140726070862,0.19971306126076152,0.0,0.0
83,0.7761429160232443,0.7039956753096951,0.0,0.0
84,0.6562190973385735,0.07624804220854728,0.0,0.0
85,0.8998131418371492,0.2492056458835175,0.0,0.0
86,0.3852892706133465,0.8162232897392407,0.0,0.0
87,0.84073784199023,0.4688485979305633,0.0,0.0
88,0.8517655855493665,0.034850686723205675,0.0,1.0
89,0.13668314982594276,0.07676882694814123,0.0,0.0
90,0.7468489923586715,0.3267003394894128,0.0,0.0
91,0.5500184447247009,0.578316120655655,0.0,0.0
92,0.581180521316464,0.20252202283760593,0.0,0.0
93,0.12430720141414553,0.7701288717161843,0.0,0.0
94,0.17690364799893588,0.9568805275485217,0.0,0.0
