respondent_id,scale,item_id,key,reverse,response,keyed_score
R0001,BIAS,BIAS_01,+,False,3,3
R0001,BIAS,BIAS_02,+,False,3,3
R0001,BIAS,BIAS_03,+,False,4,4
R0001,BIAS,BIAS_04,-,True,3,3
R0001,BIAS,BIAS_05,+,False,3,3
R0001,BIAS,BIAS_06,+,False,3,3
R0001,BIAS,BIAS_07,+,False,2,2
R0001,BIAS,BIAS_08,+,False,3,3
R0001,BIAS,BIAS_09,+,False,2,2
R0001,BIAS,BIAS_10,-,True,3,3
R0001,BIAS,BIAS_11,-,True,3,3
R0001,BIAS,BIAS_12,+,False,3,3
R0001,DOI,DOI_01,+,False,3,3
R0001,DOI,DOI_02,+,False,5,5
R0001,DOI,DOI_03,+,False,3,3
R0001,DOI,DOI_04,+,False,3,3
R0001,DOI,DOI_05,-,True,5,1
R0001,DOI,DOI_06,-,True,4,2
R0001,DOI,DOI_07,-,True,5,1
R0001,DOI,DOI_08,+,False,3,3
R0001,DOI,DOI_09,+,False,3,3
R0001,DOI,DOI_10,-,True,3,3
R0001,DOI,DOI_11,+,False,3,3
R0001,DOI,DOI_12,-,True,4,2
R0001,NPI,NPI_01,+,False,3,3
R0001,NPI,NPI_02,-,True,3,3
R0001,NPI,NPI_03,+,False,3,3
R0001,NPI,NPI_04,+,False,3,3
R0001,NPI,NPI_05,+,False,3,3
R0001,NPI,NPI_06,+,False,3,3
R0001,NPI,NPI_07,-,True,3,3
R0001,NPI,NPI_08,+,False,3,3
R0001,NPI,NPI_09,+,False,3,3
R0001,NPI,NPI_10,+,False,3,3
R0001,SD3_psy,SD3_psy_01,+,False,3,3
R0001,SD3_psy,SD3_psy_02,-,True,1,5
R0001,SD3_psy,SD3_psy_03,+,False,3,3
R0001,SD3_psy,SD3_psy_04,-,True,3,3
R0001,SD3_psy,SD3_psy_05,+,False,2,2
R0001,SD3_psy,SD3_psy_06,+,False,3,3
R0001,SD3_psy,SD3_psy_07,-,True,3,3
R0001,SD3_psy,SD3_psy_08,+,False,3,3
R0001,SD3_psy,SD3_psy_09,-,True,3,3
R0001,SD3_mac,SD3_mac_01,-,True,3,3
R0001,SD3_mac,SD3_mac_02,+,False,3,3
R0001,SD3_mac,SD3_mac_03,+,False,3,3
R0001,SD3_mac,SD3_mac_04,+,False,3,3
R0001,SD3_mac,SD3_mac_05,+,False,3,3
R0001,SD3_mac,SD3_mac_06,-,True,3,3
R0001,SD3_mac,SD3_mac_07,+,False,3,3
