scale,n_items,alpha,omega,n_used,optimized,opt_metric,opt_score,n_items_original,n_items_kept,n_items_dropped,dropped_items
BIAS,9,0.5346425576883402,0.7056590736827671,500,True,alpha,0.5346425576883382,12,9,3,"['BIAS_11', 'BIAS_10', 'BIAS_04']"
DOI,6,0.5262531183167126,0.7160844211476932,500,True,alpha,0.5262531183167118,12,6,6,"['DOI_05', 'DOI_06', 'DOI_07', 'DOI_12', 'DOI_10', 'DOI_09']"
HSQ_aff,4,0.42021568352741295,0.6967596860696886,500,True,alpha,0.42021568352741534,8,4,4,"['HSQ_aff_05', 'HSQ_aff_01', 'HSQ_aff_07', 'HSQ_aff_02']"
HSQ_aggr,5,0.3902736385071387,0.6695613953879487,500,True,alpha,0.39027363850713953,8,5,3,"['HSQ_aggr_08', 'HSQ_aggr_01', 'HSQ_aggr_06']"
HSQ_self,6,0.4396017549780624,0.678985102105466,500,True,alpha,0.4396017549780627,8,6,2,"['HSQ_self_04', 'HSQ_self_08']"
HSQ_soci,8,0.0,0.009739284574456893,500,True,alpha,0.0,8,8,0,[]
NPI,8,0.5540354935153275,0.7189018987246981,500,True,alpha,0.5540354935153267,10,8,2,"['NPI_02', 'NPI_07']"
SD3_mac,5,0.4343116335367302,0.686705675797152,500,True,alpha,0.43431163353673,9,5,4,"['SD3_mac_09', 'SD3_mac_06', 'SD3_mac_01', 'SD3_mac_08']"
SD3_narc,7,0.3873000114551921,0.6463432693025137,500,True,alpha,0.38730001145519105,9,7,2,"['SD3_narc_09', 'SD3_narc_05']"
SD3_psy,9,0.0,0.012667348079767996,500,True,alpha,0.0,9,9,0,[]
