scale,n_items,alpha,omega,n_used,optimized,opt_metric,opt_score,n_items_original,n_items_kept,n_items_dropped,dropped_items
BIAS,9,0.5346425576883402,0.7056590736827671,500,True,omega,0.7056590736827671,12,9,3,"['BIAS_11', 'BIAS_04', 'BIAS_10']"
DOI,5,0.5112195987674882,0.7185188803296813,500,True,omega,0.7185188803296813,12,5,7,"['DOI_06', 'DOI_07', 'DOI_12', 'DOI_05', 'DOI_10', 'DOI_09', 'DOI_02']"
HSQ_aff,3,0.3606318969136876,0.701063708364969,500,True,omega,0.701063708364969,8,3,5,"['HSQ_aff_01', 'HSQ_aff_05', 'HSQ_aff_07', 'HSQ_aff_02', 'HSQ_aff_03']"
HSQ_aggr,3,0.37999279885978215,0.7064646375892105,500,True,omega,0.7064646375892105,8,3,5,"['HSQ_aggr_01', 'HSQ_aggr_06', 'HSQ_aggr_08', 'HSQ_aggr_04', 'HSQ_aggr_02']"
HSQ_self,3,0.3946379152661169,0.7114926352107627,500,True,omega,0.7114926352107627,8,3,5,"['HSQ_self_04', 'HSQ_self_08', 'HSQ_self_06', 'HSQ_self_02', 'HSQ_self_03']"
HSQ_soci,3,0.3257217975558714,0.6855545942916802,500,True,omega,0.6855545942916802,8,3,5,"['HSQ_soci_02', 'HSQ_soci_08', 'HSQ_soci_05', 'HSQ_soci_07', 'HSQ_soci_06']"
NPI,8,0.5540354935153275,0.7189018987246981,500,True,omega,0.7189018987246981,10,8,2,"['NPI_02', 'NPI_07']"
SD3_mac,3,0.38059284957189377,0.7068438432389903,500,True,omega,0.7068438432389903,9,3,6,"['SD3_mac_09', 'SD3_mac_06', 'SD3_mac_01', 'SD3_mac_08', 'SD3_mac_05', 'SD3_mac_03']"
SD3_narc,3,0.2896428472930898,0.6784241253088288,500,True,omega,0.6784241253088288,9,3,6,"['SD3_narc_09', 'SD3_narc_05', 'SD3_narc_08', 'SD3_narc_02', 'SD3_narc_03', 'SD3_narc_07']"
SD3_psy,3,0.17608264277397745,0.6431536094725636,500,True,omega,0.6431536094725636,9,3,6,"['SD3_psy_09', 'SD3_psy_02', 'SD3_psy_07', 'SD3_psy_04', 'SD3_psy_03', 'SD3_psy_05']"
