respondent_id,ATTN_1,ATTN_2,BIAS_01,BIAS_02,BIAS_03,BIAS_04,BIAS_05,BIAS_06,BIAS_07,BIAS_08,BIAS_09,BIAS_10,BIAS_11,BIAS_12,DOI_01,DOI_02,DOI_03,DOI_04,DOI_05,DOI_06,DOI_07,DOI_08,DOI_09,DOI_10,DOI_11,DOI_12,HSQ_aff_01,HSQ_aff_02,HSQ_aff_03,HSQ_aff_04,HSQ_aff_05,HSQ_aff_06,HSQ_aff_07,HSQ_aff_08,HSQ_aggr_01,HSQ_aggr_02,HSQ_aggr_03,HSQ_aggr_04,HSQ_aggr_05,HSQ_aggr_06,HSQ_aggr_07,HSQ_aggr_08,HSQ_self_01,HSQ_self_02,HSQ_self_03,HSQ_self_04,HSQ_self_05,HSQ_self_06,HSQ_self_07,HSQ_self_08,HSQ_soci_01,HSQ_soci_02,HSQ_soci_03,HSQ_soci_04,HSQ_soci_05,HSQ_soci_06,HSQ_soci_07,HSQ_soci_08,NPI_01,NPI_02,NPI_03,NPI_04,NPI_05,NPI_06,NPI_07,NPI_08,NPI_09,NPI_10,SD3_mac_01,SD3_mac_02,SD3_mac_03,SD3_mac_04,SD3_mac_05,SD3_mac_06,SD3_mac_07,SD3_mac_08,SD3_mac_09,SD3_narc_01,SD3_narc_02,SD3_narc_03,SD3_narc_04,SD3_narc_05,SD3_narc_06,SD3_narc_07,SD3_narc_08,SD3_narc_09,SD3_psy_01,SD3_psy_02,SD3_psy_03,SD3_psy_04,SD3_psy_05,SD3_psy_06,SD3_psy_07,SD3_psy_08,SD3_psy_09,country,language,age,gender,education,device,source,duration_sec
R0001,1,1,3,3,4,3,3,3,2,3,2,3,3,3,3,5,3,3,1,2,1,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,2,3,3,3,3,IN,en,64,M,phd,mobile,ads,17.09443532264915
R0002,1,1,2,3,3,3,3,3,3,3,3,3,3,4,2,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,5,3,3,2,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,2,3,IN,en,32,M,secondary,mobile,organic,16.521504377102616
R0003,1,1,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,4,3,3,3,2,3,1,3,3,3,3,3,3,3,4,3,3,4,2,3,3,3,3,2,2,5,3,3,3,3,3,3,3,3,4,3,RU,ru,45,M,bachelor,mobile,panel,17.255395970608856
R0004,1,0,3,4,3,3,3,3,3,2,3,3,3,3,3,3,5,3,2,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,IN,en,35,F,master,mobile,organic,14.277579585974703
R0005,1,0,3,4,1,3,2,2,2,2,3,4,4,4,1,3,1,1,5,5,5,3,2,3,1,4,1,5,4,3,3,3,4,5,3,2,3,1,2,3,3,4,4,2,2,2,2,2,1,4,5,1,4,5,2,5,1,1,2,5,1,2,1,1,4,1,1,4,2,2,3,4,4,1,3,5,1,1,2,4,1,3,2,1,3,4,1,4,1,5,2,1,4,2,4,IN,en,18,M,master,mobile,ads,15.93566871400042
R0006,1,0,3,2,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,4,3,3,3,3,3,3,2,4,3,3,3,5,1,3,3,3,3,3,2,3,3,4,3,3,3,3,1,3,3,3,3,3,2,3,4,3,3,4,3,3,2,3,3,5,3,3,3,5,3,1,3,2,3,3,3,3,3,3,3,3,3,5,3,3,3,2,3,3,DE,de,55,M,secondary,desktop,organic,16.396401691058895
R0007,1,1,2,3,1,4,3,4,3,1,1,3,2,3,5,2,4,1,3,5,5,1,3,4,4,4,4,4,4,1,3,1,2,5,2,3,4,1,2,1,1,5,5,5,3,3,4,2,3,5,5,1,5,2,2,5,4,3,5,4,5,1,5,4,3,3,3,5,3,3,2,1,1,3,3,4,3,3,4,3,4,3,2,2,3,5,3,3,4,3,3,4,5,4,2,RU,ru,62,M,phd,desktop,panel,17.76141512031572
R0008,1,1,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,5,3,3,3,2,3,3,5,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,RU,ru,21,M,bachelor,desktop,organic,17.7085049537367
R0009,0,0,1,2,1,1,3,3,3,4,2,4,3,1,3,1,4,3,3,5,3,3,5,1,4,5,4,2,4,2,5,2,1,2,1,1,5,2,5,5,2,1,1,3,2,3,4,2,2,4,1,3,2,4,3,4,2,2,5,2,1,4,2,4,5,3,2,4,3,4,2,2,3,3,3,4,5,1,4,1,4,3,2,2,1,4,4,2,3,2,1,5,3,2,5,IN,en,29,M,phd,mobile,organic,16.2702966144907
R0010,1,1,3,3,3,2,4,3,3,3,3,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,DE,de,21,M,master,mobile,panel,18.645560268831048
