longest_run,flag_longstring,duration_sec,normative_sec,flag_speeder,completion_rate,flag_low_completion,attn_fails,qc_score
35.0,1.0,17.09443532264915,120.0,1.0,1.0,0.0,0.0,0.5
20.0,1.0,16.521504377102616,120.0,1.0,1.0,0.0,0.0,0.5
9.0,1.0,17.255395970608856,120.0,1.0,1.0,0.0,0.0,0.5
25.0,1.0,14.277579585974705,120.0,1.0,1.0,0.0,0.0,0.5
5.0,0.0,15.93566871400042,120.0,1.0,1.0,0.0,0.0,0.75
14.0,1.0,16.396401691058895,120.0,1.0,1.0,0.0,0.0,0.5
6.0,0.0,17.76141512031572,120.0,1.0,1.0,0.0,0.0,0.75
22.0,1.0,17.7085049537367,120.0,1.0,1.0,0.0,0.0,0.5
3.0,0.0,16.2702966144907,120.0,1.0,1.0,0.0,0.0,0.75
31.0,1.0,18.645560268831048,120.0,1.0,1.0,0.0,0.0,0.5
6.0,0.0,29.06350996457273,120.0,1.0,1.0,0.0,0.0,0.75
14.0,1.0,17.57851475829813,120.0,1.0,1.0,0.0,0.0,0.5
16.0,1.0,18.45242483691657,120.0,1.0,1.0,0.0,0.0,0.5
13.0,1.0,16.944904441656888,120.0,1.0,1.0,0.0,0.0,0.5
22.0,1.0,18.314603881233342,120.0,1.0,1.0,0.0,0.0,0.5
13.0,1.0,13.74086250462965,120.0,1.0,1.0,0.0,0.0,0.5
14.0,1.0,14.445389289489205,120.0,1.0,1.0,0.0,0.0,0.5
25.0,1.0,16.331864164733787,120.0,1.0,1.0,0.0,0.0,0.5
3.0,0.0,16.868089096469685,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,18.01414927420447,120.0,1.0,1.0,0.0,0.0,0.75
20.0,1.0,16.008099458070355,120.0,1.0,1.0,0.0,0.0,0.5
3.0,0.0,16.572041731016085,120.0,1.0,1.0,0.0,0.0,0.75
16.0,1.0,17.49177242492679,120.0,1.0,1.0,0.0,0.0,0.5
15.0,1.0,15.250118540342868,120.0,1.0,1.0,0.0,0.0,0.5
3.0,0.0,17.039201469397813,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.715697281736166,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,15.12423780058603,120.0,1.0,1.0,0.0,0.0,0.75
14.0,1.0,18.211591176746897,120.0,1.0,1.0,0.0,0.0,0.5
17.0,1.0,16.615254328562727,120.0,1.0,1.0,0.0,0.0,0.5
3.0,0.0,28.58006472134469,120.0,1.0,1.0,0.0,0.0,0.75
20.0,1.0,16.272727310476345,120.0,1.0,1.0,0.0,0.0,0.5
