respondent_id,profile_type,fast_responder,longstring,straightlining,attention_fail,duplicate,extreme_pattern,bot_score
R0001,straightliner,False,True,False,False,False,False,0.2
R0002,straightliner,False,True,False,False,False,False,0.2
R0003,straightliner,False,True,False,False,False,False,0.2
R0004,straightliner,False,True,False,True,False,False,0.2
R0005,normal,False,False,False,True,False,False,0.0
R0006,straightliner,False,True,False,True,False,False,0.2
R0007,botlike,False,False,False,False,False,False,0.5
R0008,straightliner,False,True,False,False,False,False,0.2
R0009,random,False,False,False,True,False,False,0.0
R0010,straightliner,False,True,False,False,False,False,0.2
R0011,fast,False,False,False,False,False,False,0.0
R0012,straightliner,False,True,False,False,False,False,0.2
R0013,straightliner,False,True,False,False,False,False,0.2
R0014,straightliner,False,True,False,False,False,False,0.2
R0015,straightliner,False,True,False,False,False,False,0.2
R0016,straightliner,False,True,False,True,False,False,0.2
R0017,straightliner,False,True,False,True,False,False,0.2
R0018,straightliner,False,True,False,True,False,False,0.2
R0019,random,False,False,False,True,False,False,0.0
R0020,normal,False,False,False,True,False,False,0.0
R0021,straightliner,False,True,False,True,False,False,0.2
R0022,random,False,False,False,True,False,False,0.0
R0023,straightliner,False,True,False,False,False,False,0.2
R0024,straightliner,False,True,False,True,False,False,0.2
R0025,random,False,False,False,True,False,False,0.0
R0026,random,False,False,False,True,False,False,0.0
R0027,random,False,False,False,True,False,False,0.0
R0028,straightliner,False,True,False,False,False,False,0.2
R0029,straightliner,False,True,False,True,False,False,0.2
R0030,fast,False,False,False,False,False,False,0.0
R0031,straightliner,False,True,False,False,False,False,0.2
R0032,straightliner,False,True,False,True,False,False,0.2
R0033,straightliner,False,True,False,False,False,False,0.2
R0034,straightliner,False,True,False,True,False,False,0.2
R0035,straightliner,False,True,False,False,False,False,0.2
R0036,straightliner,False,True,False,False,False,False,0.2
R0037,straightliner,False,True,False,True,False,False,0.2
R0038,random,False,False,False,True,False,False,0.0
R0039,fast,False,False,False,False,False,False,0.0
R0040,straightliner,False,True,False,True,False,False,0.2
R0041,normal,False,False,False,True,False,False,0.0
R0042,random,False,False,False,False,False,False,0.0
R0043,random,False,False,False,True,False,False,0.0
R0044,straightliner,False,True,False,True,False,False,0.2
R0045,straightliner,False,True,False,True,False,False,0.2
R0046,random,False,False,False,True,False,False,0.0
R0047,straightliner,False,True,False,False,False,False,0.2
R0048,straightliner,False,True,False,True,False,False,0.2
R0049,straightliner,False,True,False,False,False,False,0.2
R0050,straightliner,False,True,False,True,False,False,0.2
R0051,straightliner,False,True,False,False,False,False,0.2
R0052,straightliner,False,True,False,False,False,False,0.2
R0053,straightliner,False,True,False,False,False,False,0.2
R0054,straightliner,False,True,False,False,False,False,0.2
R0055,random,False,False,False,True,False,False,0.0
R0056,random,False,False,False,True,False,False,0.0
R0057,straightliner,False,True,False,False,False,False,0.2
R0058,straightliner,False,True,False,False,False,False,0.2
R0059,random,False,False,False,True,False,False,0.0
R0060,random,False,False,False,True,False,False,0.0
R0061,straightliner,False,True,False,False,False,False,0.2
R0062,normal,False,False,False,True,False,False,0.0
R0063,straightliner,False,True,False,True,False,False,0.2
R0064,random,False,False,False,True,False,False,0.0
R0065,straightliner,False,True,False,True,False,False,0.2
R0066,straightliner,False,True,False,False,False,False,0.2
R0067,random,False,False,False,True,False,False,0.0
