respondent_id,country,language,age,gender,education,device,source,iq_true,eq_true,cq_true,bias_true,doi_true,npi_true,sd3_psy_true,sd3_mac_true,sd3_narc_true,hsq_aff_true,hsq_self_true,hsq_aggr_true,hsq_soci_true
R0001,IN,en,64,M,phd,mobile,ads,64.28197328424821,118.33386891678573,96.64293001432799,0.38533430146014747,0.8267165490463065,0.5786087634085683,0.1745925525986351,0.5046492054499885,0.6946705936056873,0.5695711612321669,0.5327493921326839,0.7383073909232766,0.5460256079425599
R0002,IN,en,32,M,secondary,mobile,organic,99.93451195728285,100.57862342658738,82.24291687934664,0.6214939616932328,0.5767335085144263,0.6687468347135717,0.5724377137497095,0.49074845330012434,0.5718541549225441,0.1108075825983878,0.24580898518897573,0.4522503955533511,0.22586657742308106
R0003,RU,ru,45,M,bachelor,mobile,panel,89.04847715574455,116.22579163674195,88.32431002638131,0.23719837584380524,0.5064140649808788,0.37323600786152156,0.5001927827560776,0.4340841908153469,0.4525846810826522,0.46863399125118443,0.329195075184971,0.7654156983695877,0.6781385751688946
R0004,IN,en,35,F,master,mobile,organic,105.4555726172653,91.53155517151981,108.5825820574818,0.5180984612464041,0.7508723815661303,0.3561685863248825,0.31076732748187963,0.35251802677532323,0.34151155162899793,0.45823395270793155,0.664274251607027,0.39439160586801203,0.1130673742497494
R0005,IN,en,18,M,master,mobile,ads,126.32839435082555,86.19811005226562,110.75068770313398,0.5465969964308802,0.3351033050847724,0.28505304616607025,0.2312206353639442,0.7160728066649485,0.31210825318719926,0.7310763577002921,0.3911962701760361,0.40945183251916106,0.1956914463786366
R0006,DE,de,55,M,secondary,desktop,organic,89.76067802579327,100.3590543851728,102.17338840858817,0.42924936512318396,0.5823357390823424,0.5601435723344219,0.8433866020454346,0.7966410296157957,0.40944963669765816,0.28548598392242397,0.794520755238888,0.7049266166109629,0.6760001842860056
R0007,RU,ru,62,M,phd,desktop,panel,104.3858061320263,104.7129501294417,94.4561831892878,0.5021800049779968,0.23003197712688006,0.3531115384730058,0.3097699466840677,0.30216373016541404,0.4931958376316971,0.6323460261002258,0.5330050295203979,0.17583243964725115,0.09445533836864121
R0008,RU,ru,21,M,bachelor,desktop,organic,88.98159079084458,114.32932175947714,120.98068602777548,0.7690019320693326,0.2425075929330606,0.25330751015405484,0.4843484083679543,0.6803831193819274,0.8705637866051921,0.32915200576489645,0.8805545771760568,0.3429454745426692,0.3916931500801657
R0009,IN,en,29,M,phd,mobile,organic,127.16444278675651,108.95860167775355,92.34409266444973,0.6549114286588114,0.5984825754470113,0.6423847889293421,0.6357030461316859,0.6096916352618906,0.8023387289643663,0.13374086704999813,0.515225408226952,0.32485753963911934,0.45429968318642167
R0010,DE,de,21,M,master,mobile,panel,71.80853854996509,130.01838969118336,77.37808035831165,0.801670523671914,0.6892665598078868,0.5468815677307511,0.3521285021730361,0.6131427077898328,0.5842456482496093,0.3600613840820032,0.6512018983623505,0.522870020656462,0.2600179305317697
R0011,RU,ru,61,M,master,mobile,panel,105.23068692833195,102.43188413571792,109.16504287078963,0.4770469272244563,0.524985717033182,0.4057169211712833,0.1454094354367316,0.7883002316231629,0.6561467946319236,0.3604287222635807,0.28984126543213956,0.43854347665551974,0.4535680200689863
R0012,US,en,41,F,secondary,desktop,organic,105.58591256474405,97.23581337272759,105.03267261211143,0.299841698005506,0.22375629335389677,0.4337284081568234,0.70877016395782,0.5572108794291599,0.23891595542046998,0.7889995462312063,0.6884724743003263,0.7662597204579689,0.8739959098006168
R0013,US,en,37,F,phd,mobile,ads,110.95815918708617,103.85163167811979,81.78530051407051,0.33894561338317325,0.18994587462517667,0.5578137207340931,0.6741965630656231,0.4057627767097339,0.315687323958691,0.4974368570190083,0.2672894113512627,0.39072719830359537,0.18284657783154187
R0014,IN,en,37,M,secondary,mobile,panel,106.81067774030149,86.85680114682778,107.20296752801679,0.3689508601844068,0.5407580728530713,0.43651529908993114,0.3996491295127086,0.3550795283526817,0.2707384210476877,0.7937671134367276,0.46749293678550446,0.5718385030994111,0.2267881176904488
R0015,RU,ru,49,F,master,mobile,panel,88.55674549474841,109.31289414302998,99.42001033931015,0.5671519034204884,0.28711213957811377,0.30076427555409535,0.43911558986789906,0.6250379656795572,0.4474552748408446,0.5179529509266964,0.07825265196582738,0.19204737929808907,0.22112710488156062
