respondent_id,start_ts,end_ts,duration_ms,page_durations_json,focus_switches,interruptions
R0001,20250911_144618+0000,20250911_144618+0000,17094.43532264915,"[1933.3520507309486, 2208.8343699228003, 1854.714054200422, 2021.8412951512676, 1723.4051653452238, 1738.264250180987, 1401.0944500814842, 2288.2867301512633, 1105.4496013219252, 819.1933555628289]",0,0
R0002,20250911_144618+0000,20250911_144618+0000,16521.504377102618,"[2043.952113425524, 2046.6424361993256, 1967.128772759371, 1958.3009509699536, 1523.1262226822648, 1985.4615359052987, 1451.4361490046858, 1285.116498546935, 1732.1357771030034, 528.2039205062567]",0,0
R0003,20250911_144618+0000,20250911_144618+0000,17255.395970608857,"[1909.4870645769704, 2247.262574639568, 1598.7391517977217, 1608.8014487843448, 1410.6790391020854, 2152.3963271278562, 1729.6152124557746, 2034.200545075313, 1584.6234926471172, 979.5911144021042]",0,0
R0004,20250911_144618+0000,20250911_144618+0000,14277.579585974705,"[1428.6417935844227, 1509.204371466937, 1486.646043504949, 1086.1749124492524, 1865.8091892153966, 1275.918827675904, 1973.0454363005892, 1459.1844001487095, 1394.2647100770973, 798.6899015514468]",0,1
R0005,20250911_144618+0000,20250911_144618+0000,15935.66871400042,"[1561.6291316241068, 1392.0313473229924, 1768.721747060848, 1832.8467606626073, 1557.9800748557127, 1215.7402064180044, 1651.692079405659, 2165.3361874906113, 1305.0276189418917, 1484.6635602179858]",0,0
R0006,20250911_144618+0000,20250911_144618+0000,16396.401691058894,"[1552.7175333394487, 2022.741498276202, 2090.3918484771166, 1928.452794339723, 2079.0839125166954, 1434.8397529797746, 1837.326164163518, 1501.3312185147217, 1393.9610815294554, 555.5558869222408]",0,0
R0007,20250911_144618+0000,20250911_144618+0000,17761.41512031572,"[2207.2116365709035, 1570.9678549762389, 2283.7476936217317, 2017.1956504024056, 2038.2039028651022, 2339.2085672823323, 1808.8865777540373, 1548.3192259956224, 1513.9552224658712, 433.71878838147563]",1,0
R0008,20250911_144618+0000,20250911_144618+0000,17708.5049537367,"[2443.9132630226954, 1817.2384046741067, 1663.9186475830406, 1571.0772624645365, 2186.590343795908, 1605.730636796205, 1548.8225436400055, 1533.3981277883468, 2716.2405739835294, 621.5751499883264]",1,1
R0009,20250911_144618+0000,20250911_144618+0000,16270.2966144907,"[1624.1213993985073, 1917.1740567180875, 1599.7512636231131, 1091.9353493339313, 2470.069035341902, 1572.9195869739872, 1377.689231379124, 2305.057504864755, 1360.3858903969815, 951.1932964603118]",3,0
R0010,20250911_144618+0000,20250911_144618+0000,18645.560268831046,"[2026.426650200511, 2268.15423763019, 2112.3924628900195, 2388.1661970803084, 1642.8013087648476, 1731.2408049330888, 1335.1556686452082, 1705.0000972880696, 2300.1957853029107, 1136.0270560958918]",0,0
R0011,20250911_144618+0000,20250911_144618+0000,29063.509964572735,"[3127.2050405241066, 2186.2140114306067, 3852.2446757887997, 3128.658355838386, 2963.8109822058655, 3230.609534545036, 2880.717862285922, 3613.263835612301, 2350.727714810685, 1730.0579515310264]",1,0
R0012,20250911_144618+0000,20250911_144618+0000,17578.51475829813,"[2458.7588903187434, 1684.1638245858944, 1627.5030705430058, 1740.3700821839764, 2072.831271232866, 1906.7281841737263, 1895.8114000096768, 1791.2327856921056, 1795.6101639666272, 605.5050855915082]",0,0
R0013,20250911_144618+0000,20250911_144618+0000,18452.424836916573,"[1689.617907168926, 2523.393015258049, 1585.8938137196305, 1270.4313750019496, 2398.252896667801, 1817.0260067630682, 1869.5873136120929, 2389.46894258342, 2107.401386430429, 801.3521797112056]",1,0
R0014,20250911_144618+0000,20250911_144618+0000,16944.904441656887,"[1578.134809682987, 1908.9037118279125, 2251.48932298304, 1552.0088703405706, 1622.513172578698, 2578.8018082759463, 1346.0749970018437, 1904.0649473006126, 1364.351033424176, 838.5617682411003]",0,0
R0015,20250911_144618+0000,20250911_144618+0000,18314.603881233343,"[1423.9382855839444, 2288.8120927138725, 1503.4726063531887, 1874.6258803834153, 1896.8498712289102, 2332.4607639549827, 1731.4909574643107, 2108.6840937435963, 2235.362460387007, 918.9068694201159]",1,0
R0016,20250911_144618+0000,20250911_144618+0000,13740.86250462965,"[1475.6090557714401, 1568.5579214396885, 1479.3794379967533, 1284.3024096250765, 1518.1764062997988, 1319.6988273599918, 1824.9450833846727, 1530.0126282054337, 1170.1435720153665, 570.0371625314277]",0,0
R0017,20250911_144618+0000,20250911_144618+0000,14445.389289489205,"[1792.349050357925, 1653.185413565275, 1140.2106291217024, 1461.0887119279705, 1865.3122797586773, 1579.267636155954, 1664.894998319119, 1279.2838904998932, 1660.624797734622, 349.1718820480667]",1,1
R0018,20250911_144618+0000,20250911_144618+0000,16331.864164733788,"[1576.8013615747311, 1419.5194753409219, 2049.4227682097294, 1720.2641034672943, 1669.8069022671614, 1949.859282674343, 2104.8385695307693, 1819.8487921867854, 1632.1397623822215, 389.36314709983077]",0,0
R0019,20250911_144618+0000,20250911_144618+0000,16868.089096469685,"[1872.4189816131523, 1725.2156152572995, 2511.603869460467, 1451.403312066273, 1700.5387617335155, 1749.2497241569574, 1205.3742485588205, 1613.237025239336, 1768.7221940112242, 1270.325364372639]",2,0
R0020,20250911_144618+0000,20250911_144618+0000,18014.149274204472,"[1951.0638145427204, 1767.1754059636573, 2934.664807595411, 2291.3058206489927, 1885.5349988655328, 2162.013587093916, 1261.8953779512433, 1604.846876374004, 1393.102986484511, 762.5455986844828]",1,0
R0021,20250911_144618+0000,20250911_144618+0000,16008.099458070354,"[2255.9906196169777, 1399.0886759756754, 1894.4222904793055, 2415.651526723695, 1097.9529274357285, 1771.0845450270501, 1516.320368691662, 1571.6836973734248, 1618.393649673692, 467.511157073142]",1,0
R0022,20250911_144618+0000,20250911_144618+0000,16572.041731016085,"[1867.2937976489607, 1837.3876995872172, 1734.507533490956, 1956.0412188686466, 1653.4743245022803, 2260.8654775179925, 1076.2902537558762, 1548.0535423733888, 1882.5433692660715, 755.5845140046961]",2,0
R0023,20250911_144618+0000,20250911_144618+0000,17491.77242492679,"[1538.496990640487, 1813.952813422917, 2427.7732779591493, 1318.2154225226045, 2404.0630687064536, 1269.4245525234753, 1836.9600655200961, 2349.7913485433573, 1557.6515426137125, 975.4433424745366]",0,0
R0024,20250911_144618+0000,20250911_144618+0000,15250.118540342868,"[1606.3794339971648, 1345.0815321911177, 1408.7934723380024, 1173.8275751727972, 2132.2073662336247, 1703.3890842285325, 1251.5937228387954, 1574.5877665587816, 2101.9170887776927, 952.3414980063585]",1,0
R0025,20250911_144618+0000,20250911_144618+0000,17039.201469397813,"[2182.9683960696657, 1667.8620386328678, 1406.4240905298127, 2056.532390808036, 1247.3765689609634, 2432.016152201032, 2149.469718296529, 1261.411631471358, 1869.9785557120147, 765.1619267155346]",0,0
R0026,20250911_144618+0000,20250911_144618+0000,16715.697281736164,"[1637.7147442365795, 1435.8518136357675, 1713.7730206229394, 1713.3437122265793, 1355.998808349758, 2335.4671322055433, 1789.776508222329, 2221.3773193520756, 1712.2080328568832, 800.1861900277089]",1,0
R0027,20250911_144618+0000,20250911_144618+0000,15124.23780058603,"[1887.8703667592547, 1426.0522695921584, 1744.6576639260713, 1462.1052901585276, 1643.6964754836251, 1359.2089410780277, 1418.3967545770006, 1582.0113589138582, 1863.948237089474, 736.2904430080332]",1,0
R0028,20250911_144618+0000,20250911_144618+0000,18211.591176746897,"[2091.4068175995417, 1515.989843810551, 2335.5312677420056, 2218.394640311678, 1763.1641416220662, 2214.9916419910805, 1651.047281187836, 1567.881043613892, 1574.1709864997422, 1279.0135123685038]",1,0
R0029,20250911_144618+0000,20250911_144618+0000,16615.25432856273,"[1655.6161705448287, 1920.6538294988131, 1623.6291893871212, 1932.1413936794104, 1311.4765930952026, 2162.5899411613173, 1739.820032066542, 2026.685907929778, 1684.0641985889285, 558.577072610788]",1,0
R0030,20250911_144618+0000,20250911_144618+0000,28580.06472134469,"[2937.6341217589434, 2374.207191470611, 3409.242793596582, 2926.791218228662, 2880.4496252671197, 2767.2959962201226, 4031.710250473537, 2189.827822186063, 3714.891107857255, 1348.0145942857948]",1,0
R0031,20250911_144618+0000,20250911_144618+0000,16272.727310476344,"[1738.6178277950048, 1101.825403426887, 1952.230373873414, 1376.8028132860425, 1940.5411931885092, 2176.7768981344207, 1627.9549633598162, 1605.5945376000113, 1856.5639870316515, 895.8193127805879]",0,0
R0032,20250911_144618+0000,20250911_144618+0000,17434.247564296686,"[1583.1076822107611, 1832.672911748977, 1299.3618162786352, 2701.0578243942514, 2167.4728890369124, 1905.5380645650139, 2490.300060557325, 1559.3195215693147, 1393.181092698465, 502.2357012370286]",1,0
R0033,20250911_144618+0000,20250911_144618+0000,17053.657373771035,"[2468.033642950401, 1588.1129514232664, 1740.7778285928264, 1330.3398443623078, 1796.2798054013447, 1549.0551566326772, 2256.3714102073645, 1629.8378712387207, 1752.215384879205, 942.6334780829206]",0,1
R0034,20250911_144618+0000,20250911_144618+0000,17023.802628511246,"[1524.9654494194554, 1296.9007174242556, 2706.7318303287207, 1799.1026441344418, 1614.8752574687187, 2060.7669140745575, 1436.6198728150925, 1931.6288969323255, 1831.0252387898372, 821.1858071238432]",2,0
R0035,20250911_144618+0000,20250911_144618+0000,17000.916748470132,"[2240.8852602878605, 1611.9676897808386, 1440.4983151852894, 1361.800262576885, 1658.2061744822142, 2066.0416833532954, 2059.81267019982, 1928.9776527248223, 1558.8135291276335, 1073.9135107514717]",0,0
R0036,20250911_144618+0000,20250911_144618+0000,17827.12928574364,"[2613.403285042714, 2067.4149758249496, 2140.87216062232, 1473.4928016343229, 1498.1341979526826, 1683.921154526437, 1637.6935227755707, 2175.5252106616867, 1802.047970790294, 734.6240059126606]",2,0
R0037,20250911_144618+0000,20250911_144618+0000,17467.911519559366,"[2354.751728639726, 1323.05077970228, 1975.1953066344922, 1484.928540479541, 1549.7807842693333, 1523.1994560408443, 3069.3769790237975, 1911.879963850269, 1426.4332591091054, 849.314721809978]",0,0
R0038,20250911_144618+0000,20250911_144618+0000,19469.500247944958,"[2069.6749424561785, 2863.8119911458352, 2238.2015276540537, 2519.5806372678067, 1817.4015970888174, 1389.8535423492121, 1633.3323918512142, 2117.6682356572387, 1674.6974582752775, 1145.2779241993217]",1,0
R0039,20250911_144618+0000,20250911_144618+0000,29130.712947513533,"[3056.9123550444338, 4098.371422428966, 2860.784373042357, 2904.5253806450014, 2742.3595753604145, 2793.657998705124, 2473.699480111098, 3837.3277212006337, 3239.949355663547, 1123.125285311959]",0,0
R0040,20250911_144618+0000,20250911_144618+0000,16540.473410239625,"[2200.831268115147, 1604.0334717648989, 1309.070901163537, 2099.4195035969365, 1751.763215244227, 2111.3917414942835, 1661.9214145478954, 1614.6717070509337, 1527.897105762561, 659.4730814992053]",0,0
R0041,20250911_144618+0000,20250911_144618+0000,17293.073016546485,"[1529.2071110455597, 1563.811145612264, 1862.857088468725, 1970.2213702830381, 2432.6997927517364, 1466.9693504746842, 2029.3461552045587, 1940.3303589893994, 1563.4312755179712, 934.1993681985492]",0,1
R0042,20250911_144618+0000,20250911_144618+0000,18338.604478697063,"[2226.984146590465, 2562.3371641638614, 2033.1190809971295, 2262.6535881367, 1455.815489345826, 1822.7193035916857, 1440.5387084712431, 1710.300264563154, 2317.9061771016436, 506.2305557353526]",0,0
R0043,20250911_144618+0000,20250911_144618+0000,16923.922905386808,"[1894.9956666948044, 1834.2170864086747, 1778.2024493318177, 1325.1825389857233, 1342.4384013081626, 1644.849706697316, 2029.8877144016164, 1908.3497837560728, 2020.790249348004, 1145.0093084546147]",2,0
R0044,20250911_144618+0000,20250911_144618+0000,15067.103313007074,"[1818.8294117902656, 1770.6349049894488, 1589.167389960029, 1576.200679614637, 1489.5357566602302, 1323.4587731843249, 1296.1157538602447, 1677.8571297268088, 1772.165790851858, 753.137722369227]",0,0
R0045,20250911_144618+0000,20250911_144618+0000,16139.118921713942,"[1841.370794678232, 1818.0367322637103, 1472.275036091483, 1521.4889276252334, 1314.6223588687988, 2067.45875057392, 1529.4451414054329, 1744.8921709881804, 1719.37070697016, 1110.1583022487919]",0,0
R0046,20250911_144618+0000,20250911_144618+0000,17906.667680866834,"[1589.447557096505, 2052.2374746115456, 2486.7671077372383, 1301.9375540050598, 1937.2607519816368, 2505.676700262993, 1831.4398672172513, 1779.5493963050108, 1800.0927365910795, 622.2585350585133]",0,0
R0047,20250911_144618+0000,20250911_144618+0000,17363.3957989176,"[1533.1493254148818, 2436.271580530606, 1544.931840708784, 2380.207316463691, 3046.4556157437755, 1441.4447482825274, 1679.8034149136752, 1351.0838174202765, 1308.4608752447753, 641.587264194609]",0,1
R0048,20250911_144618+0000,20250911_144618+0000,17699.04232269158,"[2012.9246089667683, 1737.7078032456204, 1833.4248153728174, 2239.959886490139, 1646.225784138137, 1940.6966212623884, 1632.0727244665097, 1776.2813575037585, 1869.8034627356747, 1009.9452585097675]",1,1
R0049,20250911_144618+0000,20250911_144618+0000,15212.195906762558,"[1011.6508004952992, 1614.785283694423, 1730.977122739534, 1669.0033252631506, 1709.1647535017469, 1420.7000085831546, 1476.4513883969937, 1664.6985621503668, 1964.3068428528743, 950.4578190850143]",0,0
R0050,20250911_144618+0000,20250911_144618+0000,16459.61579489851,"[1236.5230241085847, 1486.9374268758768, 1652.0369246145574, 1534.749015749447, 2739.6300094274357, 1892.3047518591193, 1851.5031679566418, 1425.2279064816937, 1359.7703835009158, 1280.9331843242387]",0,0
R0051,20250911_144618+0000,20250911_144618+0000,18853.244748659738,"[2322.7577000696015, 1885.8297647016964, 1799.0018123059278, 1947.9812615393485, 1692.687805820444, 2196.835919677509, 1510.4137753365972, 2149.471632002281, 2721.3221096448183, 626.9429675615123]",1,0
R0052,20250911_144618+0000,20250911_144618+0000,16965.72895914185,"[2600.7192362506094, 1407.2720644654075, 1708.448712057048, 2004.9314496552333, 1461.0863281874338, 2729.95406615438, 1533.0395890369732, 1707.5700176254397, 1228.7333735856137, 583.9741221237098]",3,0
R0053,20250911_144618+0000,20250911_144618+0000,16365.353540038175,"[1733.1087157164318, 1944.169298883669, 1969.6936461135574, 1492.1244112122986, 2101.063005930831, 1880.044339405519, 1292.055331640742, 1250.3262506988106, 1686.308359899583, 1016.4601805367325]",1,0
R0054,20250911_144618+0000,20250911_144618+0000,17412.23323000963,"[2768.858557851665, 2137.7518775919702, 2689.3857840697656, 1264.058536265333, 1507.635189342669, 1229.8279731289963, 1796.5326075382409, 1803.2777666190254, 1256.8877116120098, 958.0172259899573]",0,0
R0055,20250911_144618+0000,20250911_144618+0000,17357.95848010227,"[1411.3528967526408, 2723.7448576319675, 1208.469215555236, 1919.1442275101524, 1762.807760583989, 1706.9864852306857, 1750.0496028852635, 1985.6565753328575, 1585.644907526412, 1304.1019510930628]",0,0
R0056,20250911_144618+0000,20250911_144618+0000,15327.268544489947,"[1547.284177582801, 1875.5297299977826, 2206.276800809484, 1268.1734722195579, 1916.4038062291102, 1185.12208071097, 1348.3396356705164, 1659.1279651611796, 1432.74881511584, 888.2620609927048]",0,0
R0057,20250911_144618+0000,20250911_144618+0000,14950.96688201228,"[1380.8223818472661, 1213.5641575499246, 1585.6581282726772, 1372.870396987277, 1381.5766655504015, 1462.4811004509418, 1882.7510591452458, 1895.2930813218995, 1830.3948373195228, 945.5550735671233]",0,0
R0058,20250911_144618+0000,20250911_144618+0000,17505.925735804678,"[2161.7892982689523, 1954.8874817192761, 1811.6263591517088, 1507.3796815190003, 1758.495857110216, 1488.3071848679217, 3004.2658939974804, 1515.567216697977, 1236.3348695238728, 1067.2718929482721]",0,1
R0059,20250911_144618+0000,20250911_144618+0000,17129.205054491995,"[2244.5886866142873, 1449.5471380266192, 2745.208768467083, 1952.819216801114, 1606.9372909746019, 1713.3199830858289, 1688.4617273080196, 1672.00946480921, 1359.3874206489286, 696.9253577563015]",1,0
R0060,20250911_144618+0000,20250911_144618+0000,16924.052654773866,"[1830.9285722986501, 1551.0769165456682, 1644.056967233794, 1661.6559985355088, 1604.3248759402518, 1978.1793374769036, 1883.572775273503, 1834.2855396692066, 1874.6443471470286, 1061.3273246533522]",0,1
R0061,20250911_144618+0000,20250911_144618+0000,16046.665967675726,"[1556.102099947353, 1776.8444960468428, 2078.23601547118, 1648.4787610116373, 1127.2887145030604, 1569.0021185322164, 1578.6233778146786, 1724.4943262567358, 2001.8570490799589, 985.7390090120639]",0,1
R0062,20250911_144618+0000,20250911_144618+0000,17884.379406969132,"[1954.1473849250506, 1925.3443051693478, 1803.435835385947, 2013.913012069301, 1393.147170470691, 1931.867380458365, 1662.8597919768363, 1873.73541790609, 2248.254523425582, 1077.6745851819223]",1,1
R0063,20250911_144618+0000,20250911_144618+0000,14742.971644554384,"[1377.4254015576, 1219.6900907217214, 1514.596012047016, 1351.5801945235066, 2694.3876567756024, 1428.7302704828755, 1555.1911051137802, 1499.0321164809086, 1584.2067127945982, 518.132084056775]",0,0
R0064,20250911_144618+0000,20250911_144618+0000,18103.53733897173,"[1920.65637741307, 2283.8250136951215, 2412.5856646843868, 1537.0096064713566, 1840.358441880231, 2241.8280541819436, 1259.5950065391057, 1363.9353529673012, 2367.497506120955, 876.2463150182595]",4,0
R0065,20250911_144618+0000,20250911_144618+0000,14498.436218263625,"[1658.660824352301, 1174.3814898822877, 1703.3302926546496, 1395.1102828306628, 1557.792063228574, 1601.511521949838, 1624.8657219378665, 1069.0517404134555, 1790.3490827076766, 923.3831983063135]",1,0
