scale,n_items,alpha,omega,n_used
BIAS,12,0.0,4.81610927470805e-06,500
DOI,12,0.0,2.295410754160183e-09,500
HSQ_aff,8,0.0,0.004164316392408666,500
HSQ_aggr,8,0.24998569097611004,0.4665418954680666,500
HSQ_self,8,0.44345005168713136,0.6526753930884627,500
HSQ_soci,8,0.4636284791162135,0.6491811612288878,500
NPI,10,0.32756861227361733,0.5409449915848679,500
SD3_mac,9,0.34736934127897556,0.5598356707190327,500
SD3_narc,9,0.11234950123901186,0.4121927199565863,500
SD3_psy,9,0.0226685376866516,0.232797173484456,500
