longest_run,flag_longstring,duration_sec,normative_sec,flag_speeder,completion_rate,flag_low_completion,attn_fails,qc_score
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
14.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
8.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
7.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
7.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
19.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
25.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
8.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
2.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
13.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
