scale,n_items,alpha,omega,n_used,optimized,opt_metric,opt_score,n_items_original,n_items_kept,n_items_dropped,dropped_items
BIAS,6,0.5815839194109446,0.7413242027233856,500,True,omega,0.7413242027233856,12,6,6,"['BIAS_11', 'BIAS_01', 'BIAS_09', 'BIAS_05', 'BIAS_04', 'BIAS_12']"
DOI,3,0.5053250488170972,0.7523704602856183,500,True,omega,0.7523704602856183,12,3,9,"['DOI_03', 'DOI_11', 'DOI_08', 'DOI_06', 'DOI_02', 'DOI_01', 'DOI_10', 'DOI_12', 'DOI_09']"
HSQ_aff,3,0.42446556957284953,0.7226934026508974,500,True,omega,0.7226934026508974,8,3,5,"['HSQ_aff_01', 'HSQ_aff_06', 'HSQ_aff_04', 'HSQ_aff_02', 'HSQ_aff_05']"
HSQ_aggr,5,0.5656343952558267,0.7419995453130535,500,True,omega,0.7419995453130535,8,5,3,"['HSQ_aggr_02', 'HSQ_aggr_06', 'HSQ_aggr_05']"
HSQ_self,7,0.6360860394138632,0.762078820845632,500,True,omega,0.762078820845632,8,7,1,['HSQ_self_02']
HSQ_soci,7,0.6297574201731807,0.7586297852501974,500,True,omega,0.7586297852501974,8,7,1,['HSQ_soci_01']
NPI,8,0.6424101945214916,0.7613396662234317,500,True,omega,0.7613396662234317,10,8,2,"['NPI_03', 'NPI_10']"
SD3_mac,7,0.640324282762461,0.7642736293189384,500,True,omega,0.7642736293189384,9,7,2,"['SD3_mac_01', 'SD3_mac_02']"
SD3_narc,6,0.6218078234241858,0.7603698726681589,500,True,omega,0.7603698726681589,9,6,3,"['SD3_narc_07', 'SD3_narc_08', 'SD3_narc_03']"
SD3_psy,6,0.5643449529717051,0.7331428892182299,500,True,omega,0.7331428892182299,9,6,3,"['SD3_psy_05', 'SD3_psy_08', 'SD3_psy_01']"
