item,p_uniform,p_nonuniform,flag_uniform,flag_nonuniform
0,0.7310074714828219,0.976549479339871,0.0,0.0
1,0.7666267810675015,0.739683733371983,0.0,0.0
2,0.8470749924420954,0.03433977734217053,0.0,1.0
3,0.8594119227228514,0.6252842642956115,0.0,0.0
4,0.15815577369149078,0.3396357826887977,0.0,0.0
5,0.560756330992955,0.957851335985315,0.0,0.0
6,0.010288526678038097,0.9107836733752256,1.0,0.0
7,0.9596350404555005,0.34907065108925783,0.0,0.0
8,0.5377714432117726,0.013143444407245873,0.0,1.0
9,0.7191016435650124,0.12996507559744389,0.0,0.0
10,0.09083660143941462,0.45761006492653944,0.0,0.0
11,0.3760842579371706,0.15035032296226997,0.0,0.0
12,0.015852934034940237,0.015465560972205456,1.0,1.0
13,0.9780209548159553,0.0020150586424457005,0.0,1.0
14,0.008708906479471203,0.31117036431460743,1.0,0.0
15,0.43990079261864545,0.0069055181347573704,0.0,1.0
16,0.9762351802341231,0.02441591037245066,0.0,1.0
17,0.022132993098507477,0.6990858893227359,1.0,0.0
18,0.7873088018555441,0.10103388150030755,0.0,0.0
19,0.37146560038270704,0.09722427473983855,0.0,0.0
20,0.8633845704634401,0.21277967230003186,0.0,0.0
21,0.9472433862914418,0.26613339860955953,0.0,0.0
22,0.6608200324275508,0.7985271479554155,0.0,0.0
23,0.6041912945297971,0.2376839344605194,0.0,0.0
24,0.3231815634288462,0.4575288051898604,0.0,0.0
25,0.1642014328096895,0.5782644377040306,0.0,0.0
26,0.013239224875297972,0.3176235377542609,1.0,0.0
27,0.33017825242034404,0.2637109117563737,0.0,0.0
28,0.06625196625010236,0.8113391408577277,0.0,0.0
29,0.370260168982679,0.9550468520366778,0.0,0.0
30,0.032940755698559025,0.7791481104950624,1.0,0.0
31,0.41350388368418267,0.1758528421334636,0.0,0.0
32,0.384464878204117,0.698535589957955,0.0,0.0
33,0.3907581504151021,0.13107996172375855,0.0,0.0
34,0.41329722085625187,0.7443118975511638,0.0,0.0
35,0.6924382114120287,0.052766033336517935,0.0,0.0
36,0.2075461319090083,0.8515216814383417,0.0,0.0
37,0.14991050811392084,0.5837042120583372,0.0,0.0
38,0.6635508668173231,0.6917706259069587,0.0,0.0
39,0.07541762533673396,0.40134546878516986,0.0,0.0
40,0.3534247382832383,0.8993317478360254,0.0,0.0
41,0.49900966930471735,0.8438624745812725,0.0,0.0
42,0.4935602414090724,0.7013758018475598,0.0,0.0
43,0.905321558469428,0.9348884026878914,0.0,0.0
44,0.7893548067188458,0.845894230221321,0.0,0.0
45,0.6203609943841493,0.47310001023907444,0.0,0.0
46,0.8381848971763058,0.3502086349887453,0.0,0.0
47,0.3957805648513518,0.11990985818110826,0.0,0.0
48,0.039320678751591606,0.8391979047825006,1.0,0.0
49,0.5398920160161674,0.7638414307702602,0.0,0.0
50,0.01994871708770134,0.5003353328423013,1.0,0.0
51,0.00015201894024395344,0.5803545991131212,1.0,0.0
52,0.05077856888176384,0.8551521719856487,0.0,0.0
53,0.13613636691160177,0.5524474013325149,0.0,0.0
54,0.04129764469164567,0.5775153774791046,1.0,0.0
55,0.10706558265566289,0.683793966938823,0.0,0.0
56,0.8736860121055542,0.4251905805227266,0.0,0.0
57,0.8649684536070671,0.9489556858809594,0.0,0.0
58,0.2336243038668423,0.853722178086225,0.0,0.0
59,0.18167244706975008,0.0036514536228115127,0.0,1.0
60,0.14685862549982104,0.7082368088719486,0.0,0.0
61,0.552943896672494,0.659708722725367,0.0,0.0
62,0.9553653936144882,0.21709124901751004,0.0,0.0
63,0.23456280110367267,0.00030170792329508016,0.0,1.0
64,0.9722538980416595,0.16192929238433335,0.0,0.0
65,0.4707427824326619,0.024524538841856194,0.0,1.0
66,0.5441046512449422,0.2571610792570031,0.0,0.0
67,0.5854564726512992,0.9987803862779843,0.0,0.0
68,0.08609493031746818,0.352768583712048,0.0,0.0
69,0.548789364192702,0.524345598229325,0.0,0.0
70,0.5189161482535773,0.022450776357658474,0.0,1.0
71,0.18174298937233424,0.49870994868928276,0.0,0.0
72,0.8997478048241705,0.15280423478519345,0.0,0.0
73,0.6191660555114397,0.40422760765827537,0.0,0.0
74,0.5748957874294094,0.8970739983248284,0.0,0.0
75,0.7794785166948606,0.9315920714782565,0.0,0.0
76,0.6495492375840182,0.7482121587502981,0.0,0.0
77,0.2496448079549474,0.37960750381790986,0.0,0.0
78,0.22025001293267896,0.7358957128637965,0.0,0.0
79,0.7993829549982844,0.10629357705881877,0.0,0.0
80,0.2506004667666443,0.32586928001392657,0.0,0.0
81,0.3678766583176506,0.6377507564133233,0.0,0.0
82,0.9503706209276417,0.04087512867949275,0.0,1.0
83,0.5646009791676154,0.8380323845616304,0.0,0.0
84,0.4536551925980825,0.9894079653704662,0.0,0.0
85,0.9997037977977457,0.9560551308715869,0.0,0.0
86,0.6607688906450073,0.41505579427236783,0.0,0.0
87,0.19557806004675543,0.8532633355941976,0.0,0.0
88,0.06894822348089781,0.17661282155801958,0.0,0.0
89,0.09834682393465109,0.15516861184834183,0.0,0.0
90,0.7676313023706811,0.10921893834138356,0.0,0.0
91,0.5523845748757397,0.3541268813196886,0.0,0.0
92,0.23014489548890557,0.029165700919211144,0.0,1.0
