respondent_id,ATTN_1,ATTN_2,BIAS_01,BIAS_02,BIAS_03,BIAS_04,BIAS_05,BIAS_06,BIAS_07,BIAS_08,BIAS_09,BIAS_10,BIAS_11,BIAS_12,DOI_01,DOI_02,DOI_03,DOI_04,DOI_05,DOI_06,DOI_07,DOI_08,DOI_09,DOI_10,DOI_11,DOI_12,HSQ_aff_01,HSQ_aff_02,HSQ_aff_03,HSQ_aff_04,HSQ_aff_05,HSQ_aff_06,HSQ_aff_07,HSQ_aff_08,HSQ_aggr_01,HSQ_aggr_02,HSQ_aggr_03,HSQ_aggr_04,HSQ_aggr_05,HSQ_aggr_06,HSQ_aggr_07,HSQ_aggr_08,HSQ_self_01,HSQ_self_02,HSQ_self_03,HSQ_self_04,HSQ_self_05,HSQ_self_06,HSQ_self_07,HSQ_self_08,HSQ_soci_01,HSQ_soci_02,HSQ_soci_03,HSQ_soci_04,HSQ_soci_05,HSQ_soci_06,HSQ_soci_07,HSQ_soci_08,NPI_01,NPI_02,NPI_03,NPI_04,NPI_05,NPI_06,NPI_07,NPI_08,NPI_09,NPI_10,SD3_mac_01,SD3_mac_02,SD3_mac_03,SD3_mac_04,SD3_mac_05,SD3_mac_06,SD3_mac_07,SD3_mac_08,SD3_mac_09,SD3_narc_01,SD3_narc_02,SD3_narc_03,SD3_narc_04,SD3_narc_05,SD3_narc_06,SD3_narc_07,SD3_narc_08,SD3_narc_09,SD3_psy_01,SD3_psy_02,SD3_psy_03,SD3_psy_04,SD3_psy_05,SD3_psy_06,SD3_psy_07,SD3_psy_08,SD3_psy_09,country,language,age,gender,education,device,source,duration_sec
R0001,0,0,3,1,2,3,2,1,1,2,2,4,5,5,4,1,2,1,5,2,1,3,1,2,3,1,3,3,4,4,4,2,3,3,2,2,4,5,1,4,1,3,2,1,4,3,5,5,2,3,1,2,3,4,2,4,5,5,2,1,1,3,4,3,4,3,3,1,1,5,3,2,4,1,5,3,2,4,1,3,5,3,2,4,3,3,1,3,2,1,3,3,3,1,2,RU,ru,25,M,bachelor,mobile,ads,16.828657198891047
R0002,0,0,2,4,2,5,1,3,2,2,4,2,3,3,4,4,3,3,5,5,1,3,3,3,1,2,1,1,5,1,4,3,1,1,4,2,4,1,4,2,3,3,2,4,2,1,1,1,5,2,2,3,1,2,1,1,4,5,5,1,5,3,3,3,4,5,3,3,3,2,1,4,1,2,4,1,1,2,3,1,3,4,4,2,4,1,5,1,2,4,3,1,3,1,3,IN,en,59,F,master,mobile,panel,16.29659434709407
R0003,0,1,4,3,1,4,4,3,3,4,3,1,1,1,1,5,1,3,5,1,1,2,3,4,4,2,2,4,4,2,4,4,3,1,5,4,3,4,3,5,1,3,1,3,3,2,3,2,1,2,2,3,3,2,3,1,3,2,4,3,3,4,5,4,4,4,5,5,5,5,1,3,3,5,4,4,3,1,4,3,3,3,3,2,4,3,4,3,3,3,3,5,5,4,3,RU,ru,20,M,secondary,desktop,ads,16.687809912605744
R0004,1,0,3,1,2,2,1,3,3,3,3,1,3,3,4,4,4,3,3,1,3,5,3,4,3,2,3,1,1,4,4,5,3,1,3,3,3,3,4,3,5,2,5,4,3,3,4,1,2,1,3,1,3,5,3,5,3,2,1,3,2,3,5,3,4,5,5,3,4,3,4,2,5,2,3,3,3,3,3,3,1,3,3,3,4,3,5,3,3,2,1,3,5,5,4,US,en,47,M,bachelor,desktop,panel,17.887376321299957
R0005,0,1,5,4,3,3,1,5,5,4,2,4,3,5,2,1,4,4,4,5,3,4,3,2,2,1,1,5,4,5,3,2,3,5,1,5,1,1,5,2,4,1,2,1,2,4,3,3,1,3,2,1,4,4,4,3,5,1,3,1,3,5,3,5,5,4,3,4,5,4,2,1,1,3,1,2,2,4,5,2,3,3,3,3,1,3,1,1,3,1,5,5,4,5,1,RU,ru,23,F,master,desktop,ads,16.074933223319878
R0006,0,1,3,1,1,2,1,1,4,1,1,5,4,4,1,3,5,3,2,5,3,2,4,1,3,2,5,2,2,5,1,3,4,4,3,1,2,5,1,4,5,2,3,4,1,5,2,2,2,1,3,4,5,4,3,4,1,3,4,1,3,4,5,3,5,1,3,5,4,4,3,3,3,2,2,2,1,3,4,5,1,4,4,3,1,4,2,3,2,1,2,2,3,3,4,US,en,58,M,secondary,mobile,ads,15.81496757801937
R0007,1,1,1,4,5,1,1,5,5,5,1,4,1,2,2,1,2,5,5,1,5,2,5,2,2,4,4,1,1,4,2,3,3,2,1,4,1,1,3,4,1,1,2,5,3,2,4,3,2,3,4,2,2,2,3,2,4,2,2,1,5,3,1,3,3,2,4,4,4,3,4,1,1,1,2,3,3,4,3,1,5,4,2,2,3,5,4,2,3,3,5,4,2,5,1,IN,en,23,M,secondary,desktop,organic,27.205084566459487
R0008,1,1,2,4,5,1,1,5,3,5,1,5,1,2,1,1,1,3,5,1,5,1,4,4,1,5,5,3,1,5,1,5,1,2,5,4,5,3,4,2,4,3,3,3,4,4,4,2,1,3,2,3,4,2,2,1,5,4,3,2,4,2,2,3,2,4,3,4,5,4,2,3,1,1,3,1,3,4,5,3,4,2,2,2,4,4,3,2,2,5,1,2,3,3,5,IN,en,46,M,secondary,mobile,organic,31.568382654011035
R0009,1,1,4,4,5,4,4,3,2,3,2,3,4,3,5,5,5,1,1,5,1,5,1,2,3,1,2,2,5,2,5,2,5,3,4,2,5,4,5,2,4,5,3,4,3,3,5,1,4,3,5,1,1,2,1,2,1,1,4,3,2,4,3,3,2,3,4,3,4,3,4,3,5,3,2,2,3,1,2,4,1,2,1,5,2,1,4,3,3,3,4,1,2,4,2,DE,de,32,F,bachelor,mobile,ads,30.524831070483586
R0010,0,1,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,2,3,4,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,3,4,US,en,42,F,secondary,mobile,ads,16.85939456190282
R0011,0,1,3,4,4,4,3,3,5,4,2,5,1,2,3,5,4,3,1,4,1,4,1,3,4,2,3,1,3,2,2,2,4,5,3,4,4,1,1,3,3,1,3,1,3,4,5,5,5,4,3,5,3,4,3,4,3,3,3,3,2,5,5,3,5,4,3,1,5,3,4,1,1,1,1,1,2,1,3,4,1,2,1,4,5,1,2,4,3,4,2,4,2,4,3,DE,de,28,M,phd,desktop,ads,27.365091338557214
R0012,0,1,3,3,3,3,3,3,3,3,2,2,3,3,3,4,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,2,1,3,3,3,3,5,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,1,3,2,3,3,3,3,3,5,3,3,3,3,3,3,5,3,RU,ru,51,F,bachelor,desktop,panel,15.073818580996498
R0013,0,0,1,4,2,1,1,3,2,4,1,5,3,3,1,5,4,3,4,1,5,3,2,1,3,4,1,5,2,5,1,1,5,2,3,4,5,2,4,5,4,5,2,5,2,3,5,1,3,3,3,1,4,1,5,4,5,1,2,1,4,3,3,2,5,3,3,1,4,4,4,3,3,4,5,1,2,1,3,5,5,2,3,3,2,4,3,3,4,1,3,3,3,5,2,DE,de,47,F,bachelor,desktop,ads,16.09122739664905
R0014,1,0,4,3,2,2,3,3,4,4,2,4,4,4,2,3,4,1,3,5,5,4,3,5,5,3,1,1,3,3,5,1,5,5,3,2,3,4,3,1,3,3,1,5,1,1,1,1,1,2,4,2,2,3,2,2,4,2,3,3,5,1,4,2,3,3,1,4,4,5,2,2,2,1,3,2,3,4,4,3,4,5,4,1,1,5,4,2,2,3,3,2,1,5,2,IN,en,26,F,secondary,mobile,organic,26.997284618068313
R0015,0,1,1,3,3,2,4,1,1,2,5,5,4,4,2,4,2,4,5,3,3,3,4,5,3,1,2,3,3,1,1,2,2,3,4,1,5,3,4,5,2,5,5,4,5,4,2,2,5,1,3,3,3,5,2,2,2,4,2,5,2,5,5,3,4,3,2,2,2,2,2,2,3,1,5,5,5,4,2,3,5,5,3,2,3,1,1,2,1,2,2,2,2,3,5,IN,en,33,M,phd,mobile,ads,19.0560223267484
R0016,0,0,1,2,5,1,4,5,3,3,3,1,4,2,5,4,3,3,3,4,5,4,1,5,5,1,3,2,2,1,1,4,3,3,5,5,2,4,2,4,4,4,5,3,5,2,4,1,1,4,1,3,4,5,3,4,5,5,2,1,1,1,2,3,3,4,5,4,2,1,4,5,3,5,3,4,3,5,5,4,4,5,4,3,2,2,3,4,5,3,3,3,1,2,1,IN,en,26,M,secondary,desktop,panel,15.454728572191604
R0017,0,1,2,1,4,1,2,3,1,4,4,3,2,2,2,3,4,3,3,3,3,4,3,3,2,4,4,5,4,5,3,2,2,2,2,1,4,2,1,4,3,2,3,3,2,2,2,5,2,2,1,2,2,2,1,4,4,3,1,1,5,1,4,4,5,2,5,4,2,4,2,1,4,5,5,5,5,5,3,2,2,1,2,3,5,5,4,5,3,1,1,2,4,1,1,IN,en,50,M,phd,mobile,panel,19.72160523994249
R0018,0,0,3,5,4,2,2,2,5,1,5,1,5,2,2,3,3,3,2,1,3,2,5,2,5,2,3,2,4,5,4,5,1,3,1,5,3,2,4,2,4,4,5,3,3,1,2,4,1,5,3,2,4,3,5,4,3,2,5,4,4,4,2,1,5,3,3,2,1,4,5,1,5,2,4,2,2,1,5,4,3,5,3,1,4,1,1,1,2,2,2,5,4,5,5,IN,en,38,F,secondary,mobile,ads,17.2606378548278
R0019,1,1,4,4,2,3,3,2,2,1,5,2,4,1,2,3,3,4,2,4,5,5,4,2,3,2,4,4,4,4,4,3,2,2,1,2,2,2,2,4,4,4,3,2,5,3,5,5,5,2,4,4,3,5,4,4,3,4,4,3,4,4,4,3,4,2,3,3,4,3,4,3,4,1,2,5,3,5,4,2,3,3,3,1,1,3,4,1,1,1,4,4,3,3,2,US,en,20,M,secondary,mobile,ads,29.200789378071477
R0020,0,1,4,3,1,4,5,4,4,2,4,2,3,3,3,3,4,4,3,3,1,3,3,5,4,5,2,1,5,2,4,1,4,5,1,4,1,2,1,4,1,1,3,5,2,2,4,2,2,3,4,1,1,1,1,1,1,1,1,4,2,2,2,3,3,3,2,5,2,4,4,2,2,2,3,3,3,2,3,2,2,3,2,4,2,4,3,2,2,4,4,4,4,4,2,IN,en,42,M,bachelor,mobile,ads,26.63862458867116
