scale,n_items,alpha,omega,n_used,optimized,opt_metric,opt_score,n_items_original,n_items_kept,n_items_dropped,dropped_items
BIAS,12,0.0,4.81610927470805e-06,500,True,alpha,0.0,12,12,0,[]
DOI,12,0.0,2.295410754160183e-09,500,True,alpha,0.0,12,12,0,[]
HSQ_aff,8,0.0,0.004164316392408666,500,True,alpha,0.0,8,8,0,[]
HSQ_aggr,6,0.5796145581404876,0.7400333704441947,500,True,alpha,0.5796145581404879,8,6,2,"['HSQ_aggr_02', 'HSQ_aggr_06']"
HSQ_self,7,0.6360860394138632,0.762078820845632,500,True,alpha,0.6360860394138617,8,7,1,['HSQ_self_02']
HSQ_soci,7,0.6297574201731807,0.7586297852501974,500,True,alpha,0.6297574201731826,8,7,1,['HSQ_soci_01']
NPI,8,0.6424101945214916,0.7613396662234317,500,True,alpha,0.6424101945214914,10,8,2,"['NPI_10', 'NPI_03']"
SD3_mac,7,0.640324282762461,0.7642736293189384,500,True,alpha,0.6403242827624621,9,7,2,"['SD3_mac_01', 'SD3_mac_02']"
SD3_narc,6,0.6218078234241858,0.7603698726681589,500,True,alpha,0.6218078234241866,9,6,3,"['SD3_narc_08', 'SD3_narc_07', 'SD3_narc_03']"
SD3_psy,6,0.5643449529717051,0.7331428892182299,500,True,alpha,0.5643449529717044,9,6,3,"['SD3_psy_05', 'SD3_psy_08', 'SD3_psy_01']"
