respondent_id,profile_type,fast_responder,longstring,straightlining,attention_fail,duplicate,extreme_pattern,bot_score
R0001,botlike,False,False,False,True,False,False,0.5
R0002,random,False,False,False,True,False,False,0.0
R0003,botlike,False,False,False,True,False,False,0.5
R0004,botlike,False,False,False,True,False,False,0.5
R0005,botlike,False,False,False,True,False,False,0.5
R0006,random,False,False,False,True,False,False,0.0
R0007,fast,False,False,False,False,False,False,0.0
R0008,fast,False,False,False,False,False,False,0.0
R0009,fast,False,True,False,False,False,False,0.2
R0010,straightliner,False,True,False,True,False,False,0.2
R0011,fast,False,False,False,True,False,False,0.0
R0012,straightliner,False,True,False,True,False,False,0.2
R0013,botlike,False,False,False,True,False,False,0.5
R0014,fast,False,False,False,True,False,False,0.0
R0015,random,False,False,False,True,False,False,0.0
R0016,random,False,False,False,True,False,False,0.0
R0017,random,False,False,False,True,False,False,0.0
R0018,random,False,False,False,True,False,False,0.0
R0019,fast,False,False,False,False,False,False,0.0
R0020,fast,False,False,False,True,False,False,0.0
R0021,straightliner,False,True,False,True,False,False,0.2
R0022,botlike,False,False,False,True,False,False,0.5
R0023,botlike,False,False,False,True,False,False,0.5
R0024,botlike,False,False,False,True,False,False,0.5
R0025,botlike,False,False,False,True,False,False,0.5
R0026,random,False,False,False,False,False,False,0.0
R0027,botlike,False,False,False,True,False,False,0.5
R0028,botlike,False,False,False,True,False,False,0.5
R0029,botlike,False,False,False,True,False,False,0.5
R0030,random,False,False,False,True,False,False,0.0
R0031,fast,False,False,False,False,False,False,0.0
R0032,botlike,False,False,False,True,False,False,0.5
R0033,botlike,False,False,False,True,False,False,0.5
R0034,random,False,False,False,True,False,False,0.0
R0035,botlike,False,False,False,True,False,False,0.5
R0036,fast,False,True,False,False,False,False,0.2
R0037,fast,False,False,False,True,False,False,0.0
R0038,botlike,False,False,False,True,False,False,0.5
R0039,botlike,False,False,False,True,False,False,0.5
R0040,random,False,False,False,True,False,False,0.0
R0041,botlike,False,False,False,True,False,False,0.5
R0042,botlike,False,False,False,True,False,False,0.5
R0043,random,False,False,False,True,False,False,0.0
R0044,botlike,False,False,False,True,False,False,0.5
R0045,random,False,False,False,True,False,False,0.0
R0046,fast,False,False,False,True,False,False,0.0
R0047,fast,False,False,False,False,False,False,0.0
R0048,straightliner,False,True,False,False,False,False,0.2
R0049,fast,False,False,False,False,False,False,0.0
R0050,random,False,False,False,True,False,False,0.0
R0051,fast,False,False,False,True,False,False,0.0
R0052,random,False,False,False,True,False,False,0.0
R0053,fast,False,False,False,False,False,False,0.0
R0054,random,False,False,False,True,False,False,0.0
R0055,fast,False,False,False,False,False,False,0.0
R0056,random,False,False,False,True,False,False,0.0
R0057,fast,False,False,False,False,False,False,0.0
R0058,straightliner,False,True,False,True,False,False,0.2
R0059,normal,False,False,False,False,False,False,0.0
R0060,random,False,False,False,True,False,False,0.0
R0061,normal,False,False,False,False,False,False,0.0
R0062,fast,False,True,False,False,False,False,0.2
R0063,random,False,False,False,False,False,False,0.0
R0064,botlike,False,False,False,True,False,False,0.5
R0065,fast,False,False,False,False,False,False,0.0
R0066,fast,False,True,False,True,False,False,0.2
R0067,straightliner,False,True,False,False,False,False,0.2
R0068,fast,False,False,False,True,False,False,0.0
R0069,botlike,False,False,False,True,False,False,0.5
R0070,botlike,False,False,False,True,False,False,0.5
R0071,random,False,False,False,True,False,False,0.0
R0072,fast,False,True,False,False,False,False,0.2
R0073,fast,False,False,False,False,False,False,0.0
R0074,random,False,False,False,True,False,False,0.0
R0075,fast,False,False,False,True,False,False,0.0
R0076,normal,False,False,False,True,False,False,0.0
R0077,botlike,False,False,False,True,False,False,0.5
R0078,botlike,False,False,False,False,False,False,0.5
R0079,random,False,False,False,True,False,False,0.0
R0080,botlike,False,False,False,True,False,False,0.5
R0081,botlike,False,False,False,True,False,False,0.5
R0082,random,False,False,False,True,False,False,0.0
R0083,botlike,False,False,False,True,False,False,0.5
R0084,random,False,False,False,True,False,False,0.0
R0085,fast,False,False,False,False,False,False,0.0
R0086,random,False,False,False,True,False,False,0.0
R0087,random,False,False,False,True,False,False,0.0
R0088,straightliner,False,True,False,False,False,False,0.2
R0089,straightliner,False,True,False,True,False,False,0.2
R0090,fast,False,False,False,False,False,False,0.0
R0091,normal,False,False,False,False,False,False,0.0
R0092,random,False,False,False,True,False,False,0.0
R0093,botlike,False,False,False,False,False,False,0.5
R0094,normal,False,True,False,False,False,False,0.2
R0095,fast,False,False,False,False,False,False,0.0
R0096,botlike,False,False,False,True,False,False,0.5
R0097,straightliner,False,True,False,False,False,False,0.2
R0098,botlike,False,False,False,True,False,False,0.5
R0099,fast,False,False,False,False,False,False,0.0
R0100,straightliner,False,True,False,False,False,False,0.2
R0101,normal,False,False,False,False,False,False,0.0
R0102,fast,False,False,False,True,False,False,0.0
R0103,straightliner,False,True,False,False,False,False,0.2
R0104,fast,False,False,False,False,False,False,0.0
R0105,botlike,False,False,False,True,False,False,0.5
R0106,random,False,False,False,True,False,False,0.0
R0107,botlike,False,False,False,True,False,False,0.5
R0108,botlike,False,False,False,False,False,False,0.5
R0109,random,False,False,False,False,False,False,0.0
R0110,random,False,False,False,True,False,False,0.0
R0111,fast,False,True,False,True,False,False,0.2
R0112,fast,False,False,False,True,False,False,0.0
R0113,random,False,False,False,True,False,False,0.0
R0114,fast,False,True,False,False,False,False,0.2
R0115,fast,False,True,False,True,False,False,0.2
R0116,botlike,False,False,False,True,False,False,0.5
R0117,random,False,False,False,True,False,False,0.0
R0118,fast,False,True,False,True,False,False,0.2
R0119,straightliner,False,True,False,True,False,False,0.2
R0120,random,False,False,False,True,False,False,0.0
R0121,fast,False,False,False,False,False,False,0.0
R0122,botlike,False,False,False,True,False,False,0.5
R0123,botlike,False,False,False,True,False,False,0.5
R0124,fast,False,False,False,False,False,False,0.0
R0125,fast,False,False,False,True,False,False,0.0
R0126,straightliner,False,True,False,False,False,False,0.2
R0127,straightliner,False,True,False,False,False,False,0.2
R0128,fast,False,False,False,False,False,False,0.0
R0129,normal,False,False,False,False,False,False,0.0
R0130,fast,False,False,False,True,False,False,0.0
R0131,random,False,False,False,True,False,False,0.0
R0132,botlike,False,False,False,True,False,False,0.5
R0133,botlike,False,False,False,True,False,False,0.5
R0134,random,False,False,False,True,False,False,0.0
R0135,botlike,False,False,False,True,False,False,0.5
R0136,fast,False,False,False,True,False,False,0.0
R0137,fast,False,False,False,True,False,False,0.0
R0138,botlike,False,False,False,True,False,False,0.5
R0139,botlike,False,False,False,True,False,False,0.5
R0140,fast,False,False,False,False,False,False,0.0
R0141,random,False,False,False,True,False,False,0.0
R0142,random,False,False,False,True,False,False,0.0
R0143,straightliner,False,True,False,True,False,False,0.2
R0144,fast,False,False,False,True,False,False,0.0
R0145,botlike,False,False,False,True,False,False,0.5
R0146,botlike,False,False,False,False,False,False,0.5
R0147,random,False,False,False,True,False,False,0.0
R0148,botlike,False,False,False,False,False,False,0.5
R0149,random,False,False,False,True,False,False,0.0
R0150,random,False,False,False,True,False,False,0.0
R0151,normal,False,False,False,True,False,False,0.0
R0152,random,False,False,False,True,False,False,0.0
R0153,botlike,False,False,False,True,False,False,0.5
R0154,random,False,False,False,True,False,False,0.0
R0155,random,False,False,False,True,False,False,0.0
R0156,fast,False,True,False,False,False,False,0.2
R0157,random,False,False,False,True,False,False,0.0
R0158,botlike,False,False,False,True,False,False,0.5
R0159,fast,False,False,False,False,False,False,0.0
R0160,fast,False,False,False,True,False,False,0.0
R0161,botlike,False,False,False,True,False,False,0.5
R0162,straightliner,False,True,False,False,False,False,0.2
R0163,fast,False,False,False,True,False,False,0.0
R0164,botlike,False,False,False,True,False,False,0.5
R0165,botlike,False,False,False,False,False,False,0.5
R0166,random,False,False,False,True,False,False,0.0
R0167,random,False,False,False,True,False,False,0.0
R0168,fast,False,False,False,False,False,False,0.0
R0169,fast,False,False,False,True,False,False,0.0
R0170,random,False,False,False,True,False,False,0.0
R0171,fast,False,False,False,False,False,False,0.0
R0172,random,False,False,False,True,False,False,0.0
R0173,normal,False,False,False,False,False,False,0.0
R0174,random,False,False,False,True,False,False,0.0
R0175,normal,False,False,False,True,False,False,0.0
R0176,random,False,False,False,True,False,False,0.0
R0177,botlike,False,False,False,True,False,False,0.5
R0178,botlike,False,False,False,True,False,False,0.5
