respondent_id,country,language,age,gender,education,device,source,iq_true,eq_true,cq_true,bias_true,doi_true,npi_true,sd3_psy_true,sd3_mac_true,sd3_narc_true,hsq_aff_true,hsq_self_true,hsq_aggr_true,hsq_soci_true
R0001,RU,ru,25,M,bachelor,mobile,ads,99.43795180855426,92.45925608983536,102.50442470393176,0.9712638758222523,0.41047967522131273,0.40038615246361603,0.32408409507621816,0.6868474590465171,0.7207212221760162,0.3785498398515458,0.4096661920958841,0.5365310401327296,0.7154939145166942
R0002,IN,en,59,F,master,mobile,panel,109.10580041218748,131.6954692755423,74.56542144561604,0.8204226171838493,0.6779858379581672,0.7686392332255878,0.3012502131103387,0.28379612593785103,0.2780344350944859,0.7761633691729238,0.513528250102924,0.8023849434185428,0.24198907597145453
R0003,RU,ru,20,M,secondary,desktop,ads,106.27345965995151,106.97092947699578,103.5362669989982,0.6099012735116286,0.2408917393530993,0.6831682776160551,0.29522134060900673,0.43551187958747806,0.40336741861500763,0.571835207906556,0.4651491365849197,0.7862492687233996,0.21682223830679503
R0004,US,en,47,M,bachelor,desktop,panel,101.16753006053496,89.94451806661121,108.80762351803246,0.5644967151559561,0.3704306261074526,0.2463970689412836,0.7861323565278979,0.5088497841528231,0.5537269593497919,0.23562589272472323,0.6013560613019742,0.1745374469365348,0.5841946247260343
R0005,RU,ru,23,F,master,desktop,ads,104.67872921195394,84.01697752441791,80.67469478720609,0.2464532229361723,0.9013218088182071,0.4704134503196245,0.18002543379884317,0.5429985154749666,0.8288990205832437,0.7174531421345933,0.5024026649318776,0.1627542804524432,0.12746998108836397
R0006,US,en,58,M,secondary,mobile,ads,111.7080700043026,95.06706496558785,107.15012780812386,0.8642019599309232,0.45275804980621653,0.7127435336915665,0.42472789370893627,0.5731411012197556,0.6721237145411104,0.2804633906640633,0.16368064670893934,0.8234132025510968,0.599910604915291
R0007,IN,en,23,M,secondary,desktop,organic,109.74216582444663,105.83206010606204,100.50853504910103,0.21254353080513094,0.7032292021110164,0.43319422476489866,0.2886331601558483,0.3578920745834376,0.6403272367218877,0.5609834575563887,0.4504174998350657,0.18899193248588528,0.4703345798838889
R0008,IN,en,46,M,secondary,mobile,organic,78.24338729637445,96.75938087746425,102.31458840136195,0.14605473645297798,0.8144093882018439,0.3561075890025013,0.6224231428773306,0.30476487269367264,0.6190514538529928,0.1890353720136758,0.6036083956036382,0.6911062195509214,0.6772633719631308
R0009,DE,de,32,F,bachelor,mobile,ads,116.735042810428,110.17326925216878,104.36409252376636,0.49069963122424637,0.1460845736085348,0.4627433242785252,0.4880566041273752,0.5128728408485584,0.21495400461693878,0.8084618416857916,0.4873131690328985,0.8245295154783081,0.06636483744164343
R0010,US,en,42,F,secondary,mobile,ads,94.16375852356296,111.99988813424544,104.35649334824114,0.551791305924894,0.6658149036167339,0.5710364628014352,0.49022747125547217,0.34607788698502623,0.7407196187651551,0.6242611494929855,0.8574430218453718,0.45407688475397345,0.7243321774178744
R0011,DE,de,28,M,phd,desktop,ads,90.56214768133172,115.01167632288417,102.38528625457052,0.36568945182530416,0.2689817006309265,0.6071292812473403,0.48547074214674024,0.32530643226820505,0.20589573528783628,0.726955992059786,0.7081848896884085,0.4197667858263048,0.5940009434094943
R0012,RU,ru,51,F,bachelor,desktop,panel,114.96506443043229,96.46825122639704,107.86120317860654,0.48713663331265195,0.6933907213607733,0.585694128680808,0.2821596515098,0.4416538448384616,0.31496225239543246,0.5629242993199591,0.2840968079921865,0.5435486290296989,0.7289608259544919
