respondent_id,start_ts,end_ts,duration_ms,page_durations_json,focus_switches,interruptions
R0001,20250911_144618+0000,20250911_144618+0000,16828.657198891047,"[1739.533020023292, 2169.959688010603, 1931.1635071981316, 1399.506458703313, 1780.4304607274148, 1576.335733896, 2320.820545194161, 1619.6458301895896, 1641.832661664078, 649.4292932844644]",1,1
R0002,20250911_144618+0000,20250911_144618+0000,16296.594347094071,"[1774.372678169644, 1662.640283645516, 1738.139995666729, 1585.3871298961128, 1642.4125808047909, 1742.4173078594217, 1749.4360361396944, 1430.6344297601554, 1794.222276880552, 1176.931628271455]",1,1
R0003,20250911_144618+0000,20250911_144618+0000,16687.809912605742,"[1711.1133088199085, 1552.0299691863668, 2624.6407797264055, 1649.9602528963471, 1546.4223663022324, 1651.9882716439336, 1644.0513957902836, 1946.680514622376, 1644.2314735603863, 716.691580057502]",0,0
R0004,20250911_144618+0000,20250911_144618+0000,17887.37632129996,"[1398.8315431100898, 1507.0967701110458, 1745.7128978626188, 1442.3521303119046, 2039.1018932943243, 2176.867527178161, 2602.144662796014, 1914.1103031304197, 1950.4801913900124, 1110.6784021153671]",2,1
R0005,20250911_144618+0000,20250911_144618+0000,16074.933223319877,"[1268.7917528555627, 1952.7048248217325, 1305.3434477096362, 2914.5291316003268, 1743.588979609006, 1393.7349960131426, 1683.2896667009998, 1721.9753056534407, 1279.6167376527537, 811.358380703276]",2,0
R0006,20250911_144618+0000,20250911_144618+0000,15814.96757801937,"[1731.280937855802, 1729.7651086859626, 1338.6217361099532, 1443.3382278480067, 1613.7391826698815, 1707.0802623177003, 1390.476174205511, 1953.6438585958037, 1886.4578376069398, 1020.5642521238087]",0,0
R0007,20250911_144618+0000,20250911_144618+0000,27205.084566459485,"[3015.099771374074, 3106.8200778956466, 2761.4670213341337, 2153.4820617238834, 3608.059235868627, 2439.7710283492224, 2853.4033018456944, 2923.6702117502873, 3162.891583346622, 1180.4202729712938]",2,0
R0008,20250911_144618+0000,20250911_144618+0000,31568.382654011035,"[2155.5800759511094, 4336.377884548636, 3756.4946513431987, 3445.0157986003005, 3146.355529799647, 1901.679182608896, 3053.9193457402653, 5597.0152990781, 2661.6518236005368, 1514.293062740348]",2,1
R0009,20250911_144618+0000,20250911_144618+0000,30524.831070483582,"[2941.57903703694, 4972.329169066731, 3382.443527152037, 2861.90789212735, 2876.3469192712014, 3049.215054423774, 4114.133596767592, 2950.075457890968, 2372.9345911425207, 1003.8658256044673]",1,0
R0010,20250911_144618+0000,20250911_144618+0000,16859.39456190282,"[1962.4012312036677, 1903.3682760042109, 1773.197673684546, 1571.2628117314882, 1782.448625247513, 1334.6513575299, 1867.9063776437317, 1730.4403965131778, 2074.924535307968, 858.7932770366158]",0,0
