scale,n_items,alpha,omega,n_used
BIAS,12,0.0,0.4634270946012531,500
DOI,12,0.0,0.2816176096528219,500
HSQ_aff,8,0.6623040887199275,0.8005021897712731,500
HSQ_aggr,8,0.0,0.0013458093644109477,500
HSQ_self,8,0.2494275575247963,0.5924337309866589,500
HSQ_soci,8,0.6142378375782279,0.7814043636632451,500
NPI,10,0.7410989864783653,0.8343747435619625,500
SD3_mac,9,0.7144264873458099,0.8253832734683508,500
SD3_narc,9,0.41085977955770675,0.6889334596011184,500
SD3_psy,9,0.7083314137586705,0.8309133954856694,500
