scale,n_items,alpha,omega,n_used,optimized,opt_metric,opt_score,n_items_original,n_items_kept,n_items_dropped,dropped_items
BIAS,8,0.8297717719375551,0.8709551846929996,500,True,alpha,0.8297717719375552,12,8,4,"['BIAS_06', 'BIAS_08', 'BIAS_03', 'BIAS_04']"
DOI,7,0.7983811122826934,0.8548373683258752,500,True,alpha,0.7983811122826934,12,7,5,"['DOI_06', 'DOI_09', 'DOI_10', 'DOI_07', 'DOI_01']"
HSQ_aff,7,0.8205334996819229,0.8674002624032108,500,True,alpha,0.8205334996819227,8,7,1,['HSQ_aff_08']
HSQ_aggr,8,0.0,0.0013458093644109477,500,True,alpha,0.0,8,8,0,[]
HSQ_self,6,0.7715258014577043,0.8410075470600049,500,True,alpha,0.7715258014577039,8,6,2,"['HSQ_self_02', 'HSQ_self_08']"
HSQ_soci,6,0.8048672565765714,0.8618450625651684,500,True,alpha,0.8048672565765714,8,6,2,"['HSQ_soci_06', 'HSQ_soci_01']"
NPI,9,0.8461648138032961,0.8799311585684398,500,True,alpha,0.8461648138032967,10,9,1,['NPI_04']
SD3_mac,8,0.8404984145650026,0.8791005752792289,500,True,alpha,0.8404984145650026,9,8,1,['SD3_mac_03']
SD3_narc,7,0.8093741994238148,0.8608006343966492,500,True,alpha,0.8093741994238146,9,7,2,"['SD3_narc_05', 'SD3_narc_04']"
SD3_psy,8,0.8517492176102714,0.8865046691157413,500,True,alpha,0.8517492176102712,9,8,1,['SD3_psy_05']
