longest_run,flag_longstring,duration_sec,normative_sec,flag_speeder,completion_rate,flag_low_completion,attn_fails,qc_score
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
20.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
21.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
7.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
8.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
6.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
15.0,1.0,120.0,120.0,0.0,1.0,0.0,0.0,0.75
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
3.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
5.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
4.0,0.0,120.0,120.0,0.0,1.0,0.0,0.0,1.0
