scale,n_items,alpha,omega,n_used,optimized,opt_metric,opt_score,n_items_original,n_items_kept,n_items_dropped,dropped_items
BIAS,8,0.8297717719375551,0.8709551846929996,500,True,omega,0.8709551846929996,12,8,4,"['BIAS_06', 'BIAS_08', 'BIAS_03', 'BIAS_04']"
DOI,5,0.7902621631389248,0.8569952323316677,500,True,omega,0.8569952323316677,12,5,7,"['DOI_10', 'DOI_06', 'DOI_09', 'DOI_07', 'DOI_01', 'DOI_05', 'DOI_03']"
HSQ_aff,7,0.8205334996819229,0.8674002624032108,500,True,omega,0.8674002624032108,8,7,1,['HSQ_aff_08']
HSQ_aggr,4,0.7509715178038318,0.8431523205683293,500,True,omega,0.8431523205683293,8,4,4,"['HSQ_aggr_07', 'HSQ_aggr_02', 'HSQ_aggr_01', 'HSQ_aggr_06']"
HSQ_self,6,0.7715258014577043,0.8410075470600049,500,True,omega,0.8410075470600049,8,6,2,"['HSQ_self_02', 'HSQ_self_08']"
HSQ_soci,6,0.8048672565765714,0.8618450625651684,500,True,omega,0.8618450625651684,8,6,2,"['HSQ_soci_06', 'HSQ_soci_01']"
NPI,9,0.8461648138032961,0.8799311585684398,500,True,omega,0.8799311585684398,10,9,1,['NPI_04']
SD3_mac,8,0.8404984145650026,0.8791005752792289,500,True,omega,0.8791005752792289,9,8,1,['SD3_mac_03']
SD3_narc,7,0.8093741994238148,0.8608006343966492,500,True,omega,0.8608006343966492,9,7,2,"['SD3_narc_05', 'SD3_narc_04']"
SD3_psy,8,0.8517492176102714,0.8865046691157413,500,True,omega,0.8865046691157413,9,8,1,['SD3_psy_05']
