respondent_id,ATTN_1,ATTN_2,BIAS_01,BIAS_02,BIAS_03,BIAS_04,BIAS_05,BIAS_06,BIAS_07,BIAS_08,BIAS_09,BIAS_10,BIAS_11,BIAS_12,DOI_01,DOI_02,DOI_03,DOI_04,DOI_05,DOI_06,DOI_07,DOI_08,DOI_09,DOI_10,DOI_11,DOI_12,HSQ_aff_01,HSQ_aff_02,HSQ_aff_03,HSQ_aff_04,HSQ_aff_05,HSQ_aff_06,HSQ_aff_07,HSQ_aff_08,HSQ_aggr_01,HSQ_aggr_02,HSQ_aggr_03,HSQ_aggr_04,HSQ_aggr_05,HSQ_aggr_06,HSQ_aggr_07,HSQ_aggr_08,HSQ_self_01,HSQ_self_02,HSQ_self_03,HSQ_self_04,HSQ_self_05,HSQ_self_06,HSQ_self_07,HSQ_self_08,HSQ_soci_01,HSQ_soci_02,HSQ_soci_03,HSQ_soci_04,HSQ_soci_05,HSQ_soci_06,HSQ_soci_07,HSQ_soci_08,NPI_01,NPI_02,NPI_03,NPI_04,NPI_05,NPI_06,NPI_07,NPI_08,NPI_09,NPI_10,SD3_mac_01,SD3_mac_02,SD3_mac_03,SD3_mac_04,SD3_mac_05,SD3_mac_06,SD3_mac_07,SD3_mac_08,SD3_mac_09,SD3_narc_01,SD3_narc_02,SD3_narc_03,SD3_narc_04,SD3_narc_05,SD3_narc_06,SD3_narc_07,SD3_narc_08,SD3_narc_09,SD3_psy_01,SD3_psy_02,SD3_psy_03,SD3_psy_04,SD3_psy_05,SD3_psy_06,SD3_psy_07,SD3_psy_08,SD3_psy_09,country,language,age,gender,education,device,source,duration_sec
R0001,1,1,1,2,3,4,3,5,2,4,2,2,2,2,4,3,1,3,3,5,3,2,3,4,1,4,3,4,5,5,4,5,4,2,1,2,4,4,5,1,1,3,5,2,2,4,3,5,4,2,1,2,2,2,2,3,2,2,2,1,1,3,3,3,3,5,4,4,2,3,4,2,4,3,2,3,3,3,2,4,3,3,5,4,3,2,4,1,2,3,5,1,3,1,1,US,en,55,F,master,mobile,panel,16.02164000201339
R0002,0,0,2,3,3,2,4,2,3,1,4,4,3,3,3,5,3,2,4,1,3,4,2,1,3,4,3,3,2,2,3,3,3,3,3,4,2,3,3,4,2,4,2,4,2,3,2,1,2,4,3,4,4,4,3,1,5,3,4,5,5,1,5,5,5,5,5,4,5,5,3,4,2,3,2,3,3,1,1,1,5,5,1,1,1,1,2,4,2,3,2,3,1,1,4,DE,de,33,F,phd,mobile,organic,16.36577074601714
R0003,1,1,1,1,5,5,1,3,2,5,1,2,1,1,1,4,4,3,4,3,3,2,2,1,3,5,3,2,2,1,2,3,2,5,1,3,4,5,2,2,1,5,3,1,3,4,4,5,2,2,2,2,3,4,5,2,2,4,3,2,3,4,1,3,3,2,5,3,2,2,4,3,1,2,1,1,2,5,5,3,1,1,5,5,4,4,3,3,4,4,1,4,4,5,4,IN,en,43,F,phd,desktop,organic,28.24143794838525
R0004,1,1,2,4,1,1,5,4,5,2,5,5,4,4,2,5,4,4,3,1,3,4,3,4,4,4,3,3,3,1,2,2,2,4,5,5,1,1,2,4,5,2,4,2,2,4,3,4,4,2,4,2,2,3,2,3,2,2,1,1,3,4,3,1,2,1,2,4,3,2,3,2,2,3,2,2,3,3,2,2,4,3,4,3,2,3,2,2,5,4,4,4,2,1,2,DE,de,59,F,phd,mobile,ads,15.009525198604672
R0005,1,1,3,3,4,4,3,4,4,5,4,3,4,2,4,2,1,1,2,3,3,2,4,4,3,2,3,4,5,3,3,4,3,2,1,1,5,4,5,2,2,3,2,3,1,2,3,2,1,3,3,3,2,2,3,5,1,1,3,2,3,3,3,4,1,3,2,2,1,1,5,2,1,1,1,2,1,2,1,3,4,4,2,1,1,2,2,3,4,2,4,2,3,2,5,RU,ru,54,F,bachelor,mobile,panel,15.386462215473244
R0006,0,0,5,3,3,2,3,2,3,2,4,4,2,3,4,1,1,1,3,5,5,1,5,5,1,1,3,5,4,4,3,4,5,2,1,2,5,4,4,2,1,4,2,5,1,1,4,1,2,5,1,1,1,1,2,5,1,1,3,4,3,3,4,4,4,5,2,3,4,3,3,3,3,4,4,2,3,5,4,3,1,3,5,5,3,5,5,5,5,4,1,4,5,3,5,US,en,18,F,master,mobile,organic,16.799918947135026
R0007,1,0,4,1,5,3,5,5,3,1,1,2,3,3,4,1,5,2,1,4,3,4,3,3,5,4,2,5,4,3,2,5,5,5,3,4,5,1,3,2,3,4,1,4,3,1,2,3,1,1,3,4,3,3,3,2,3,3,1,3,3,3,2,3,5,1,1,3,5,3,1,2,3,1,5,3,2,3,1,5,3,5,3,1,2,3,3,5,3,1,3,3,2,3,3,DE,de,48,F,phd,mobile,organic,16.413833979938058
R0008,1,1,2,3,3,4,1,4,2,4,2,3,2,2,3,4,3,2,3,2,1,3,2,1,3,4,5,3,5,4,4,5,5,1,4,2,5,4,4,1,1,3,4,3,5,5,4,3,2,4,2,1,1,3,2,1,1,1,5,1,2,2,2,3,3,3,1,4,4,3,4,4,5,2,3,3,3,2,2,5,3,4,4,4,2,4,4,5,3,3,4,2,5,4,3,US,en,47,F,master,desktop,panel,16.56864925861811
R0009,0,0,1,2,5,5,3,4,5,2,5,2,1,3,1,1,1,3,2,3,3,4,5,5,2,4,4,5,4,3,2,3,4,4,3,3,4,1,5,2,2,4,4,2,5,3,3,3,3,1,3,3,5,5,2,4,2,3,3,1,1,5,3,3,4,4,5,4,5,3,5,2,3,2,4,2,4,2,2,1,3,4,2,3,5,4,5,5,3,5,1,1,5,2,1,RU,ru,61,M,phd,desktop,ads,16.22734476068773
R0010,1,1,5,1,3,1,3,3,2,3,3,1,1,4,2,3,3,1,3,4,4,5,5,3,3,3,2,4,3,1,1,3,3,3,3,1,2,4,1,4,3,3,3,1,1,3,1,1,4,4,2,3,1,4,3,3,2,4,3,3,3,5,3,3,5,5,2,1,1,2,3,5,3,4,4,3,5,3,3,4,3,4,3,1,3,2,5,3,3,1,5,5,4,2,3,US,en,52,F,bachelor,desktop,panel,16.38360102447119
