longest_run,flag_longstring,duration_sec,normative_sec,flag_speeder,completion_rate,flag_low_completion,attn_fails,qc_score
4.0,0.0,16.02164000201339,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.36577074601714,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,28.24143794838525,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,15.009525198604672,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,15.386462215473244,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.799918947135026,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.413833979938058,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.56864925861811,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.22734476068773,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.38360102447119,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,14.871099089892605,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.68549602742952,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.425365364904163,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,15.472758857025523,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,29.69667001172577,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,14.61376087149432,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.16550227841495,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.065127124896268,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.097885388252593,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,18.55213373460284,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,18.404880551178906,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,18.32345524276208,120.0,1.0,1.0,0.0,0.0,0.75
20.0,1.0,17.10580461403215,120.0,1.0,1.0,0.0,0.0,0.5
3.0,0.0,18.38322887906992,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,19.71247041690393,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.219323972046475,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.32478576455932,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.296366702756114,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.297418090350188,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,18.70735358094186,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.559187421504333,120.0,1.0,1.0,0.0,0.0,0.75
21.0,1.0,17.725271381847694,120.0,1.0,1.0,0.0,0.0,0.5
4.0,0.0,15.384346811938988,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,15.689841087256225,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.884443583264424,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,15.847907576770462,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.41179828415528,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,28.317050297238385,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.966823218139993,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,19.37103255043888,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,15.809422509109025,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.181337921515134,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.612903917515716,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.55905353551803,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,14.619308198396402,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.38423467227782,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.10663429181105,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,16.597992093728024,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,14.80465999288948,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.634735573710778,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.494854465578555,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,17.600814587892252,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.7567758307554,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.236360476411395,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.888905293562285,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.085608914510168,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,28.09296324035957,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.112206600180084,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.36592482334595,120.0,1.0,1.0,0.0,0.0,0.75
7.0,0.0,17.542217291693554,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.13623223531977,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,14.948888939208071,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.330819766678033,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,18.47806313141342,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.26418946249228,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,14.352523188237113,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,26.94663176305288,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.719595399665764,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.221353184235106,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.03301398120898,120.0,1.0,1.0,0.0,0.0,0.75
8.0,0.0,17.868438078248424,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,17.92665438337703,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.860447960662157,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,15.850063067895384,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,15.711163564972152,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,16.69139046217535,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,15.142092509140188,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,19.56732731900137,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,15.85335694227319,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.624918057237153,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,18.105568256334905,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,18.364627023315347,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,18.51186893764312,120.0,1.0,1.0,0.0,0.0,0.75
6.0,0.0,18.06186721681534,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,14.98098765973819,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.559865974647163,120.0,1.0,1.0,0.0,0.0,0.75
15.0,1.0,15.703435960925416,120.0,1.0,1.0,0.0,0.0,0.5
5.0,0.0,17.893105609403154,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.85606600169236,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,16.537710143258415,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,16.428769803454273,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,18.915609576305147,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.077958649224,120.0,1.0,1.0,0.0,0.0,0.75
5.0,0.0,17.791455641705358,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,15.301882804326468,120.0,1.0,1.0,0.0,0.0,0.75
4.0,0.0,20.411237649790213,120.0,1.0,1.0,0.0,0.0,0.75
3.0,0.0,17.020634150445634,120.0,1.0,1.0,0.0,0.0,0.75
