respondent_id,profile_type,fast_responder,longstring,straightlining,attention_fail,duplicate,extreme_pattern,bot_score
R0001,normal,False,False,False,False,False,False,0.0
R0002,normal,False,True,False,True,False,False,0.2
R0003,fast,False,False,False,False,False,False,0.0
R0004,normal,False,False,False,False,False,False,0.0
R0005,normal,False,False,False,False,False,False,0.0
R0006,normal,False,False,False,True,False,False,0.0
R0007,botlike,False,False,False,True,False,False,0.5
R0008,normal,False,False,False,False,False,False,0.0
R0009,random,False,False,False,True,False,False,0.0
R0010,botlike,False,False,False,False,False,False,0.5
R0011,random,False,False,False,True,False,False,0.0
R0012,normal,False,False,False,False,False,False,0.0
R0013,normal,False,False,False,True,False,False,0.0
R0014,normal,False,False,False,False,False,False,0.0
R0015,fast,False,False,False,False,False,False,0.0
R0016,normal,False,False,False,True,False,False,0.0
R0017,normal,False,False,False,False,False,False,0.0
R0018,botlike,False,False,False,True,False,False,0.5
R0019,random,False,False,False,True,False,False,0.0
R0020,normal,False,False,False,False,False,False,0.0
R0021,botlike,False,False,False,True,False,False,0.5
R0022,normal,False,False,False,True,False,False,0.0
R0023,straightliner,False,True,False,False,False,False,0.2
R0024,random,False,False,False,True,False,False,0.0
R0025,random,False,False,False,True,False,False,0.0
R0026,normal,False,False,False,False,False,False,0.0
R0027,normal,False,False,False,False,False,False,0.0
R0028,botlike,False,False,False,False,False,False,0.5
R0029,botlike,False,False,False,True,False,False,0.5
R0030,random,False,False,False,False,False,False,0.0
R0031,normal,False,False,False,False,False,False,0.0
R0032,straightliner,False,True,False,True,False,False,0.2
R0033,random,False,False,False,True,False,False,0.0
R0034,normal,False,False,False,True,False,False,0.0
R0035,botlike,False,False,False,True,False,False,0.5
R0036,normal,False,False,False,False,False,False,0.0
R0037,random,False,False,False,True,False,False,0.0
R0038,fast,False,False,False,False,False,False,0.0
R0039,normal,False,False,False,False,False,False,0.0
R0040,normal,False,False,False,False,False,False,0.0
R0041,normal,False,False,False,False,False,False,0.0
R0042,normal,False,False,False,True,False,False,0.0
R0043,normal,False,False,False,False,False,False,0.0
R0044,normal,False,False,False,True,False,False,0.0
R0045,normal,False,False,False,False,False,False,0.0
R0046,botlike,False,False,False,True,False,False,0.5
R0047,normal,False,False,False,False,False,False,0.0
R0048,normal,False,False,False,True,False,False,0.0
R0049,normal,False,True,False,False,False,False,0.2
R0050,normal,False,False,False,False,False,False,0.0
R0051,normal,False,False,False,True,False,False,0.0
R0052,normal,False,False,False,True,False,False,0.0
R0053,botlike,False,False,False,True,False,False,0.5
R0054,normal,False,False,False,False,False,False,0.0
R0055,normal,False,False,False,False,False,False,0.0
R0056,botlike,False,False,False,True,False,False,0.5
R0057,fast,False,False,False,False,False,False,0.0
R0058,random,False,False,False,True,False,False,0.0
R0059,normal,False,False,False,True,False,False,0.0
R0060,normal,False,True,False,True,False,False,0.2
R0061,normal,False,False,False,False,False,False,0.0
R0062,normal,False,False,False,True,False,False,0.0
R0063,normal,False,False,False,False,False,False,0.0
R0064,normal,False,False,False,False,False,False,0.0
R0065,normal,False,False,False,True,False,False,0.0
R0066,normal,False,False,False,True,False,False,0.0
R0067,fast,False,False,False,True,False,False,0.0
R0068,normal,False,False,False,False,False,False,0.0
R0069,normal,False,False,False,False,False,False,0.0
R0070,botlike,False,False,False,True,False,False,0.5
R0071,normal,False,True,False,False,False,False,0.2
R0072,normal,False,False,False,False,False,False,0.0
R0073,botlike,False,False,False,True,False,False,0.5
R0074,random,False,False,False,True,False,False,0.0
R0075,normal,False,False,False,True,False,False,0.0
R0076,normal,False,False,False,False,False,False,0.0
R0077,normal,False,False,False,True,False,False,0.0
R0078,normal,False,False,False,True,False,False,0.0
R0079,normal,False,True,False,False,False,False,0.2
R0080,normal,False,False,False,False,False,False,0.0
R0081,normal,False,False,False,False,False,False,0.0
R0082,normal,False,False,False,False,False,False,0.0
R0083,random,False,False,False,True,False,False,0.0
R0084,normal,False,False,False,True,False,False,0.0
R0085,normal,False,False,False,True,False,False,0.0
R0086,botlike,False,False,False,True,False,False,0.5
R0087,straightliner,False,True,False,True,False,False,0.2
R0088,normal,False,False,False,True,False,False,0.0
R0089,normal,False,False,False,False,False,False,0.0
R0090,normal,False,False,False,True,False,False,0.0
R0091,normal,False,False,False,False,False,False,0.0
R0092,normal,False,False,False,False,False,False,0.0
R0093,normal,False,False,False,True,False,False,0.0
R0094,normal,False,False,False,True,False,False,0.0
R0095,random,False,False,False,True,False,False,0.0
R0096,normal,False,False,False,False,False,False,0.0
R0097,normal,False,False,False,True,False,False,0.0
R0098,normal,False,False,False,True,False,False,0.0
R0099,botlike,False,False,False,True,False,False,0.5
R0100,normal,False,False,False,False,False,False,0.0
R0101,normal,False,False,False,True,False,False,0.0
R0102,random,False,False,False,True,False,False,0.0
R0103,normal,False,False,False,False,False,False,0.0
R0104,botlike,False,False,False,True,False,False,0.5
R0105,normal,False,False,False,False,False,False,0.0
R0106,random,False,False,False,True,False,False,0.0
R0107,normal,False,False,False,False,False,False,0.0
R0108,botlike,False,False,False,True,False,False,0.5
R0109,normal,False,False,False,False,False,False,0.0
R0110,normal,False,True,False,True,False,False,0.2
R0111,normal,False,False,False,False,False,False,0.0
R0112,normal,False,False,False,False,False,False,0.0
R0113,normal,False,False,False,False,False,False,0.0
R0114,normal,False,False,False,True,False,False,0.0
R0115,normal,False,False,False,True,False,False,0.0
R0116,random,False,False,False,True,False,False,0.0
R0117,straightliner,False,True,False,False,False,False,0.2
R0118,normal,False,False,False,True,False,False,0.0
R0119,normal,False,False,False,False,False,False,0.0
R0120,botlike,False,False,False,True,False,False,0.5
R0121,normal,False,False,False,False,False,False,0.0
R0122,botlike,False,False,False,True,False,False,0.5
R0123,normal,False,False,False,False,False,False,0.0
R0124,botlike,False,False,False,True,False,False,0.5
R0125,fast,False,False,False,False,False,False,0.0
R0126,normal,False,False,False,True,False,False,0.0
R0127,normal,False,False,False,True,False,False,0.0
R0128,normal,False,False,False,False,False,False,0.0
R0129,normal,False,False,False,False,False,False,0.0
R0130,normal,False,True,False,False,False,False,0.2
R0131,normal,False,False,False,False,False,False,0.0
R0132,random,False,False,False,True,False,False,0.0
R0133,normal,False,True,False,False,False,False,0.2
R0134,normal,False,False,False,True,False,False,0.0
R0135,normal,False,False,False,False,False,False,0.0
R0136,normal,False,False,False,True,False,False,0.0
R0137,normal,False,False,False,False,False,False,0.0
R0138,normal,False,False,False,False,False,False,0.0
R0139,normal,False,False,False,True,False,False,0.0
R0140,normal,False,False,False,False,False,False,0.0
R0141,normal,False,False,False,False,False,False,0.0
R0142,random,False,False,False,True,False,False,0.0
R0143,normal,False,False,False,False,False,False,0.0
R0144,normal,False,False,False,True,False,False,0.0
R0145,botlike,False,False,False,False,False,False,0.5
R0146,botlike,False,False,False,False,False,False,0.5
R0147,normal,False,False,False,False,False,False,0.0
R0148,normal,False,False,False,False,False,False,0.0
R0149,fast,False,False,False,True,False,False,0.0
R0150,normal,False,False,False,True,False,False,0.0
R0151,normal,False,False,False,False,False,False,0.0
R0152,normal,False,False,False,True,False,False,0.0
R0153,fast,False,True,False,True,False,False,0.2
R0154,normal,False,False,False,False,False,False,0.0
R0155,normal,False,False,False,True,False,False,0.0
R0156,normal,False,False,False,False,False,False,0.0
R0157,normal,False,True,False,False,False,False,0.2
R0158,normal,False,False,False,True,False,False,0.0
R0159,straightliner,False,True,False,False,False,False,0.2
R0160,normal,False,False,False,False,False,False,0.0
R0161,normal,False,False,False,False,False,False,0.0
R0162,normal,False,False,False,True,False,False,0.0
R0163,normal,False,False,False,False,False,False,0.0
R0164,normal,False,False,False,True,False,False,0.0
R0165,normal,False,False,False,False,False,False,0.0
R0166,normal,False,False,False,True,False,False,0.0
R0167,normal,False,False,False,False,False,False,0.0
R0168,random,False,False,False,True,False,False,0.0
R0169,normal,False,False,False,False,False,False,0.0
R0170,normal,False,False,False,False,False,False,0.0
R0171,normal,False,False,False,True,False,False,0.0
R0172,botlike,False,False,False,True,False,False,0.5
R0173,normal,False,False,False,True,False,False,0.0
R0174,normal,False,False,False,False,False,False,0.0
R0175,random,False,False,False,True,False,False,0.0
R0176,normal,False,False,False,False,False,False,0.0
R0177,normal,False,False,False,True,False,False,0.0
R0178,botlike,False,False,False,True,False,False,0.5
R0179,normal,False,False,False,False,False,False,0.0
R0180,random,False,False,False,True,False,False,0.0
R0181,normal,False,False,False,False,False,False,0.0
R0182,fast,False,False,False,False,False,False,0.0
R0183,normal,False,False,False,False,False,False,0.0
R0184,fast,False,False,False,True,False,False,0.0
R0185,normal,False,False,False,True,False,False,0.0
R0186,random,False,False,False,True,False,False,0.0
R0187,normal,False,False,False,True,False,False,0.0
R0188,normal,False,False,False,True,False,False,0.0
R0189,normal,False,False,False,False,False,False,0.0
R0190,botlike,False,False,False,False,False,False,0.5
R0191,botlike,False,False,False,True,False,False,0.5
R0192,normal,False,False,False,True,False,False,0.0
R0193,random,False,False,False,False,False,False,0.0
R0194,fast,False,False,False,True,False,False,0.0
R0195,normal,False,False,False,False,False,False,0.0
R0196,normal,False,False,False,False,False,False,0.0
R0197,normal,False,False,False,True,False,False,0.0
R0198,botlike,False,False,False,True,False,False,0.5
R0199,normal,False,False,False,False,False,False,0.0
R0200,random,False,False,False,True,False,False,0.0
R0201,normal,False,False,False,True,False,False,0.0
R0202,botlike,False,False,False,True,False,False,0.5
R0203,normal,False,False,False,True,False,False,0.0
R0204,fast,False,False,False,True,False,False,0.0
R0205,straightliner,False,True,False,False,False,False,0.2
R0206,random,False,False,False,True,False,False,0.0
R0207,botlike,False,False,False,True,False,False,0.5
R0208,normal,False,True,False,False,False,False,0.2
R0209,normal,False,False,False,True,False,False,0.0
R0210,normal,False,False,False,True,False,False,0.0
R0211,normal,False,False,False,False,False,False,0.0
R0212,normal,False,False,False,False,False,False,0.0
R0213,random,False,False,False,True,False,False,0.0
R0214,normal,False,False,False,True,False,False,0.0
R0215,normal,False,False,False,False,False,False,0.0
R0216,normal,False,False,False,False,False,False,0.0
R0217,random,False,False,False,True,False,False,0.0
R0218,straightliner,False,True,False,False,False,False,0.2
R0219,normal,False,False,False,True,False,False,0.0
R0220,normal,False,False,False,True,False,False,0.0
R0221,fast,False,False,False,True,False,False,0.0
R0222,normal,False,True,False,True,False,False,0.2
R0223,normal,False,True,False,False,False,False,0.2
R0224,normal,False,False,False,False,False,False,0.0
R0225,normal,False,False,False,True,False,False,0.0
R0226,botlike,False,False,False,True,False,False,0.5
R0227,botlike,False,False,False,True,False,False,0.5
R0228,botlike,False,False,False,True,False,False,0.5
R0229,normal,False,False,False,True,False,False,0.0
R0230,normal,False,False,False,True,False,False,0.0
R0231,random,False,False,False,True,False,False,0.0
R0232,normal,False,False,False,True,False,False,0.0
R0233,random,False,False,False,True,False,False,0.0
R0234,random,False,False,False,True,False,False,0.0
R0235,normal,False,False,False,False,False,False,0.0
R0236,fast,False,False,False,False,False,False,0.0
R0237,normal,False,False,False,False,False,False,0.0
R0238,random,False,False,False,True,False,False,0.0
R0239,normal,False,True,False,False,False,False,0.2
R0240,normal,False,False,False,False,False,False,0.0
R0241,random,False,False,False,True,False,False,0.0
R0242,normal,False,False,False,True,False,False,0.0
R0243,normal,False,False,False,True,False,False,0.0
R0244,normal,False,True,False,True,False,False,0.2
R0245,normal,False,False,False,True,False,False,0.0
R0246,normal,False,False,False,False,False,False,0.0
R0247,normal,False,False,False,False,False,False,0.0
R0248,normal,False,False,False,True,False,False,0.0
R0249,normal,False,True,False,True,False,False,0.2
R0250,normal,False,False,False,False,False,False,0.0
R0251,normal,False,False,False,False,False,False,0.0
R0252,normal,False,True,False,True,False,False,0.2
R0253,botlike,False,False,False,True,False,False,0.5
R0254,normal,False,False,False,False,False,False,0.0
R0255,normal,False,False,False,False,False,False,0.0
R0256,normal,False,False,False,True,False,False,0.0
R0257,botlike,False,False,False,True,False,False,0.5
R0258,normal,False,False,False,False,False,False,0.0
R0259,normal,False,False,False,False,False,False,0.0
R0260,normal,False,False,False,False,False,False,0.0
R0261,normal,False,False,False,False,False,False,0.0
R0262,random,False,False,False,True,False,False,0.0
R0263,normal,False,False,False,True,False,False,0.0
R0264,normal,False,False,False,True,False,False,0.0
R0265,normal,False,False,False,False,False,False,0.0
R0266,straightliner,False,True,False,True,False,False,0.2
R0267,normal,False,False,False,False,False,False,0.0
R0268,normal,False,False,False,False,False,False,0.0
R0269,normal,False,False,False,False,False,False,0.0
R0270,normal,False,False,False,False,False,False,0.0
R0271,normal,False,False,False,False,False,False,0.0
R0272,normal,False,False,False,True,False,False,0.0
R0273,normal,False,False,False,False,False,False,0.0
R0274,normal,False,False,False,False,False,False,0.0
R0275,normal,False,False,False,False,False,False,0.0
R0276,random,False,False,False,True,False,False,0.0
R0277,normal,False,False,False,False,False,False,0.0
R0278,normal,False,False,False,False,False,False,0.0
R0279,normal,False,False,False,False,False,False,0.0
R0280,normal,False,False,False,True,False,False,0.0
R0281,normal,False,False,False,False,False,False,0.0
R0282,normal,False,False,False,True,False,False,0.0
R0283,normal,False,False,False,True,False,False,0.0
R0284,normal,False,False,False,False,False,False,0.0
R0285,normal,False,False,False,False,False,False,0.0
R0286,normal,False,False,False,False,False,False,0.0
R0287,normal,False,False,False,False,False,False,0.0
R0288,normal,False,False,False,True,False,False,0.0
R0289,fast,False,False,False,False,False,False,0.0
R0290,normal,False,False,False,False,False,False,0.0
R0291,fast,False,False,False,False,False,False,0.0
R0292,botlike,False,False,False,False,False,False,0.5
R0293,normal,False,False,False,False,False,False,0.0
R0294,normal,False,False,False,False,False,False,0.0
R0295,normal,False,False,False,False,False,False,0.0
R0296,normal,False,False,False,True,False,False,0.0
R0297,normal,False,False,False,True,False,False,0.0
R0298,normal,False,False,False,True,False,False,0.0
R0299,normal,False,False,False,False,False,False,0.0
R0300,normal,False,False,False,False,False,False,0.0
R0301,normal,False,False,False,True,False,False,0.0
R0302,random,False,False,False,True,False,False,0.0
R0303,normal,False,False,False,True,False,False,0.0
R0304,normal,False,False,False,False,False,False,0.0
R0305,normal,False,False,False,False,False,False,0.0
R0306,normal,False,False,False,False,False,False,0.0
R0307,random,False,False,False,True,False,False,0.0
R0308,normal,False,False,False,True,False,False,0.0
R0309,normal,False,False,False,True,False,False,0.0
R0310,random,False,False,False,True,False,False,0.0
R0311,normal,False,False,False,True,False,False,0.0
R0312,normal,False,False,False,False,False,False,0.0
R0313,normal,False,False,False,False,False,False,0.0
R0314,normal,False,False,False,True,False,False,0.0
R0315,random,False,False,False,False,False,False,0.0
R0316,botlike,False,False,False,True,False,False,0.5
R0317,normal,False,False,False,True,False,False,0.0
R0318,normal,False,False,False,True,False,False,0.0
R0319,random,False,False,False,True,False,False,0.0
R0320,fast,False,True,False,True,False,False,0.2
R0321,random,False,False,False,True,False,False,0.0
R0322,fast,False,False,False,True,False,False,0.0
R0323,normal,False,False,False,False,False,False,0.0
R0324,normal,False,False,False,False,False,False,0.0
R0325,straightliner,False,True,False,True,False,False,0.2
R0326,normal,False,False,False,True,False,False,0.0
R0327,normal,False,False,False,True,False,False,0.0
R0328,normal,False,True,False,False,False,False,0.2
R0329,normal,False,False,False,False,False,False,0.0
R0330,normal,False,False,False,False,False,False,0.0
R0331,normal,False,False,False,False,False,False,0.0
R0332,normal,False,False,False,False,False,False,0.0
R0333,normal,False,False,False,False,False,False,0.0
R0334,normal,False,False,False,True,False,False,0.0
R0335,normal,False,False,False,False,False,False,0.0
R0336,random,False,False,False,True,False,False,0.0
R0337,random,False,False,False,True,False,False,0.0
R0338,normal,False,False,False,True,False,False,0.0
R0339,normal,False,False,False,False,False,False,0.0
R0340,normal,False,True,False,True,False,False,0.2
R0341,normal,False,False,False,True,False,False,0.0
R0342,normal,False,False,False,True,False,False,0.0
R0343,normal,False,False,False,False,False,False,0.0
R0344,normal,False,False,False,False,False,False,0.0
R0345,random,False,False,False,True,False,False,0.0
R0346,normal,False,True,False,False,False,False,0.2
R0347,normal,False,False,False,False,False,False,0.0
R0348,normal,False,False,False,False,False,False,0.0
R0349,random,False,False,False,True,False,False,0.0
R0350,botlike,False,False,False,True,False,False,0.5
R0351,normal,False,False,False,True,False,False,0.0
R0352,botlike,False,False,False,True,False,False,0.5
R0353,normal,False,True,False,False,False,False,0.2
R0354,normal,False,False,False,True,False,False,0.0
R0355,normal,False,False,False,True,False,False,0.0
R0356,normal,False,False,False,True,False,False,0.0
R0357,normal,False,False,False,False,False,False,0.0
R0358,random,False,False,False,True,False,False,0.0
R0359,normal,False,False,False,True,False,False,0.0
R0360,random,False,False,False,True,False,False,0.0
R0361,random,False,False,False,True,False,False,0.0
R0362,normal,False,False,False,False,False,False,0.0
R0363,botlike,False,False,False,True,False,False,0.5
R0364,normal,False,False,False,False,False,False,0.0
R0365,normal,False,False,False,False,False,False,0.0
R0366,random,False,False,False,True,False,False,0.0
R0367,botlike,False,False,False,True,False,False,0.5
R0368,normal,False,True,False,False,False,False,0.2
R0369,random,False,False,False,True,False,False,0.0
R0370,normal,False,False,False,True,False,False,0.0
R0371,normal,False,False,False,True,False,False,0.0
R0372,fast,False,False,False,False,False,False,0.0
R0373,random,False,False,False,False,False,False,0.0
R0374,random,False,False,False,True,False,False,0.0
R0375,fast,False,False,False,True,False,False,0.0
R0376,normal,False,False,False,True,False,False,0.0
R0377,normal,False,False,False,True,False,False,0.0
R0378,normal,False,False,False,True,False,False,0.0
R0379,normal,False,False,False,False,False,False,0.0
R0380,normal,False,False,False,True,False,False,0.0
R0381,fast,False,False,False,True,False,False,0.0
R0382,normal,False,False,False,False,False,False,0.0
R0383,normal,False,False,False,False,False,False,0.0
R0384,straightliner,False,True,False,True,False,False,0.2
R0385,normal,False,False,False,True,False,False,0.0
R0386,normal,False,False,False,True,False,False,0.0
R0387,normal,False,False,False,True,False,False,0.0
R0388,normal,False,False,False,False,False,False,0.0
R0389,random,False,False,False,True,False,False,0.0
R0390,normal,False,True,False,False,False,False,0.2
