respondent_id,start_ts,end_ts,duration_ms,page_durations_json,focus_switches,interruptions
R0001,20250911_144619+0000,20250911_144619+0000,16021.640002013388,"[1487.1410622091607, 1216.71379362255, 1478.3457996135733, 2291.2449800036943, 1538.0152617858487, 2090.295119764231, 1919.7526066085925, 1864.724685090315, 1648.3359622593052, 487.0707310561161]",2,0
R0002,20250911_144619+0000,20250911_144619+0000,16365.77074601714,"[2627.6893063668604, 1234.5409145843655, 2463.1426995753964, 1312.578497946244, 1298.3688131542024, 2225.348485653837, 1575.814772603094, 1539.0844296916457, 1576.4860503806901, 512.7167760608042]",0,0
R0003,20250911_144619+0000,20250911_144619+0000,28241.43794838525,"[3341.770910390447, 3316.781039344521, 3257.0533904305207, 3170.324240197419, 2302.8681166914, 3162.2266457075466, 2761.3244552197084, 3464.8305622220214, 2574.9939300230913, 889.2646581585733]",2,0
R0004,20250911_144619+0000,20250911_144619+0000,15009.525198604671,"[1698.0684847051602, 1911.4463835221773, 1053.7390456188152, 1344.1801738260067, 1080.0954563923383, 1809.9291975553247, 2091.4538022194015, 1461.8288030404474, 1503.007076415669, 1055.7767753093324]",0,0
R0005,20250911_144619+0000,20250911_144619+0000,15386.462215473244,"[1480.3553279242906, 1295.8921618601223, 1693.9834029487622, 2143.1984783478906, 1130.4071362927657, 1804.4981089883095, 1825.200794552424, 1462.5127766433475, 1429.0617667773688, 1121.3522611379626]",0,0
R0006,20250911_144619+0000,20250911_144619+0000,16799.918947135026,"[1322.7579657338972, 1183.1971305946138, 1753.0417129278585, 1794.9401002959341, 2402.042610212764, 2021.1373858520083, 1848.7885475421601, 2014.0197154924458, 1594.9258456807333, 865.0679328026102]",0,0
R0007,20250911_144619+0000,20250911_144619+0000,16413.83397993806,"[1206.8546102484227, 1484.6276244252124, 2814.98187107196, 1550.6172930690252, 1513.6643691029958, 2042.0965698756543, 1433.4976011389592, 2060.122492598095, 1348.5440912749373, 958.8274571327958]",3,0
R0008,20250911_144619+0000,20250911_144619+0000,16568.64925861811,"[2112.846146074503, 1446.0741598997895, 2285.7328271252604, 1666.236771828753, 1737.2788025231268, 1722.546290776311, 1553.2524389488156, 1614.8667670048346, 1607.293816437634, 822.5212379990788]",2,0
R0009,20250911_144619+0000,20250911_144619+0000,16227.344760687729,"[1316.1347768254793, 1421.7821049370334, 1793.9183023655091, 1621.7467211977857, 1645.3242121457918, 2033.635491975632, 2356.167771901068, 1256.4975360880362, 1659.3022008529126, 1122.8356423984796]",2,0
R0010,20250911_144619+0000,20250911_144619+0000,16383.60102447119,"[2280.185659199548, 1926.1369859012752, 1362.5622795963661, 1381.079959081155, 1447.570504055097, 1887.123776967709, 1579.9711702633424, 1683.012871905824, 1601.7070712361344, 1234.2507462647386]",1,0
R0011,20250911_144619+0000,20250911_144619+0000,14871.099089892605,"[1543.4716070917232, 1625.1441771013879, 1405.5248342332868, 1576.9136790572372, 1919.5095933948958, 1348.3510717136687, 1610.4771878689644, 1208.5630458753312, 1795.2140310941727, 837.9298624619369]",1,0
